Drug,Timepoint,Mean of Metastatic Sites,Mouse ID,Tumor Volume (mm3),SEM of Metastatic Sites
Propriva,5,0.0,173,45,45
Propriva,10,0.0,173,47,47
Propriva,15,1.0,173,49,49
Propriva,0,0.0,139,45,45
Propriva,5,0.0,139,45,45
Propriva,10,1.0,139,47,47
Propriva,0,0.0,83,45,45
Propriva,5,0.0,83,47,47
Propriva,10,1.0,83,48,48
Propriva,15,1.0,83,49,49
Propriva,20,1.0,83,51,51
Propriva,0,0.0,221,45,45
Propriva,5,0.0,221,49,49
Propriva,0,0.0,163,45,45
Propriva,5,0.0,163,48,48
Propriva,10,0.0,163,49,49
Propriva,15,0.0,163,53,53
Propriva,20,0.0,163,55,55
Propriva,0,0.0,177,45,45
Propriva,5,1.0,177,47,47
Propriva,10,1.0,177,48,48
Propriva,15,1.0,177,52,52
Propriva,20,1.0,177,53,53
Propriva,0,0.0,70,45,45
Propriva,5,1.0,70,47,47
Propriva,10,1.0,70,49,49
Propriva,15,1.0,70,52,52
Propriva,0,0.0,224,45,45
Propriva,5,0.0,224,46,46
Propriva,10,0.0,224,48,48
Propriva,0,0.0,223,45,45
Propriva,5,1.0,223,46,46
Propriva,10,1.0,223,49,49
Propriva,0,0.0,245,45,45
Propriva,5,0.0,245,47,47
Propriva,10,0.0,245,48,48
Propriva,0,0.0,132,45,45
Propriva,5,0.0,132,47,47
Propriva,10,1.0,132,49,49
Propriva,0,0.0,69,45,45
Propriva,5,0.0,69,46,46
Propriva,10,0.0,69,50,50
Propriva,15,0.0,69,51,51
Propriva,20,1.0,69,55,55
Propriva,0,0.0,195,45,45
Propriva,5,1.0,195,45,45
Propriva,10,1.0,195,46,46
Propriva,15,1.0,195,47,47
Propriva,20,1.0,195,49,49
Propriva,0,0.0,140,45,45
Propriva,5,1.0,140,46,46
Propriva,10,1.0,140,47,47
Propriva,15,1.0,140,51,51
Propriva,0,0.0,208,45,45
Propriva,5,1.0,208,49,49
Propriva,10,1.0,208,52,52
Propriva,15,1.0,208,54,54
Propriva,0,0.0,43,45,45
Propriva,5,0.0,43,46,46
Propriva,10,1.0,43,50,50
Propriva,15,1.0,43,53,53
Ceftamin,0,0.0,225,45,45
Ceftamin,0,0.0,152,45,45
Ceftamin,5,0.0,152,46,46
Ceftamin,10,0.0,152,50,50
Ceftamin,15,0.0,152,52,52
Ceftamin,0,0.0,23,45,45
Ceftamin,5,0.0,23,46,46
Ceftamin,10,0.0,23,47,47
Ceftamin,15,0.0,23,51,51
Ceftamin,0,0.0,136,45,45
Ceftamin,5,0.0,136,45,45
Ceftamin,10,1.0,136,47,47
Ceftamin,15,1.0,136,48,48
Ceftamin,0,0.0,156,45,45
Ceftamin,5,1.0,156,46,46
Ceftamin,10,1.0,156,47,47
Ceftamin,15,1.0,156,48,48
Ceftamin,0,0.0,186,45,45
Infubinol,0,0.0,57,45,45
Infubinol,5,0.0,57,45,45
Infubinol,10,0.0,57,47,47
Infubinol,15,0.0,57,48,48
Ramicane,0,0.0,79,45,45
Ramicane,5,0.0,79,41,41
Ramicane,10,0.0,79,41,41
Ramicane,15,0.0,79,39,39
Ketapril,0,0.0,107,45,45
Ketapril,5,0.0,107,46,46
Ketapril,10,0.0,107,50,50
Capomulin,0,0.0,89,45,45
Capomulin,5,0.0,89,45,45
Capomulin,10,0.0,89,46,46
Capomulin,15,0.0,89,43,43
Capomulin,0,0.0,165,45,45
Capomulin,5,1.0,165,45,45
Capomulin,10,2.0,165,39,39
Capomulin,15,2.0,165,35,35
Capomulin,20,2.0,165,36,36
Capomulin,0,0.0,176,45,45
Capomulin,5,0.0,176,43,43
Capomulin,10,0.0,176,37,37
Capomulin,15,0.0,176,38,38
Capomulin,0,0.0,25,45,45
Capomulin,5,0.0,25,41,41
Capomulin,10,0.0,25,41,41
Capomulin,15,0.0,25,39,39
Capomulin,20,0.0,25,37,37
Capomulin,0,0.0,228,45,45
Capomulin,5,0.0,228,45,45
Capomulin,10,0.0,228,39,39
Capomulin,15,0.0,228,39,39
Capomulin,0,0.0,110,45,45
Capomulin,5,0.0,110,45,45
Capomulin,10,0.0,110,46,46
Capomulin,15,1.0,110,47,47
Capomulin,0,0.0,182,45,45
Capomulin,5,0.0,182,43,43
Capomulin,10,0.0,182,43,43
Capomulin,15,0.0,182,41,41
Capomulin,0,0.0,164,45,45
Capomulin,5,0.0,164,45,45
Capomulin,10,0.0,164,46,46
Capomulin,15,0.0,164,46,46
Capomulin,0,0.0,194,45,45
Capomulin,5,1.0,194,45,45
Capomulin,10,2.0,194,46,46
Capomulin,15,2.0,194,47,47
Capomulin,20,2.0,194,40,40
Capomulin,0,0.0,87,45,45
Capomulin,5,0.0,87,45,45
Capomulin,10,0.0,87,46,46
Capomulin,15,0.0,87,47,47
Capomulin,0,0.0,206,45,45
Capomulin,5,0.0,206,45,45
Capomulin,10,0.0,206,39,39
Capomulin,15,0.0,206,40,40
Capomulin,0,0.0,222,45,45
Capomulin,5,0.0,222,45,45
Capomulin,10,0.0,222,43,43
Capomulin,15,0.0,222,43,43
Capomulin,0,0.0,85,45,45
Capomulin,5,0.0,85,45,45
Capomulin,10,0.0,85,43,43
Capomulin,15,0.0,85,37,37
Capomulin,0,0.0,171,45,45
Capomulin,5,0.0,171,45,45
Capomulin,10,0.0,171,46,46
Capomulin,15,0.0,171,47,47
Capomulin,0,0.0,241,45,45
Capomulin,5,0.0,241,41,41
Capomulin,10,1.0,241,41,41
Capomulin,15,1.0,241,42,42
Capomulin,0,0.0,67,45,45
Capomulin,5,0.0,67,44,44
Capomulin,10,0.0,67,44,44
Capomulin,15,0.0,67,45,45
Capomulin,0,0.0,65,45,45
Capomulin,5,0.0,65,45,45
Capomulin,10,1.0,65,46,46
Capomulin,15,1.0,65,42,42
Capomulin,0,0.0,117,45,45
Capomulin,5,0.0,117,45,45
Capomulin,10,0.0,117,46,46
Capomulin,15,0.0,117,44,44
Capomulin,0,0.0,210,45,45
Capomulin,5,0.0,210,39,39
Capomulin,10,0.0,210,39,39
Capomulin,0,0.0,185,45,45
Capomulin,5,0.0,185,45,45
Capomulin,10,0.0,185,46,46
Capomulin,15,0.0,185,44,44
Capomulin,0,0.0,82,45,45
Capomulin,5,0.0,82,42,42
Capomulin,10,0.0,82,42,42
Capomulin,15,0.0,82,43,43
Capomulin,0,0.0,126,45,45
Capomulin,5,1.0,126,45,45
Capomulin,10,1.0,126,46,46
Capomulin,15,1.0,126,39,39
Capomulin,0,0.0,62,45,45
Capomulin,5,0.0,62,38,38
Capomulin,10,0.0,62,35,35
Capomulin,15,0.0,62,32,32
Capomulin,20,0.0,62,30,30
Capomulin,0,0.0,123,45,45
Capomulin,5,1.0,123,41,41
Capomulin,10,1.0,123,36,36
Capomulin,15,1.0,123,35,35
