,,age_grp,Count,Notes,Rate,Statistics
53,2009,1-4,37.0,,17.97,
53,2010,1-4,20.0,,9.59,
53,2011,1-4,17.0,,8.91,
53,2012,1-4,29.0,,15.03,
53,2013,1-4,24.0,,12.54,
53,2014,1-4,29.0,,15.92,
53,2015,1-4,19.0,,10.1,
53,Year,1-4,,,,Laclede
54,2001,1-4,,*,,
54,2002,1-4,,*,,
54,2004,1-4,,*,,
54,2005,1-4,,*,,
54,2006,1-4,,*,,
54,2007,1-4,,*,,
54,2008,1-4,,*,,
54,2009,1-4,,*,,
54,2014,1-4,,*,,
54,2015,1-4,,*,,
54,2001,1-4,15.0,,9.72,
54,2002,1-4,14.0,,8.66,
54,2003,1-4,20.0,,11.69,
54,2004,1-4,11.0,,6.73,
54,2005,1-4,17.0,,10.22,
54,2006,1-4,12.0,,7.28,
54,2007,1-4,12.0,,7.33,
54,2008,1-4,16.0,,9.42,
54,2009,1-4,16.0,,9.52,
54,2010,1-4,32.0,,19.09,
54,2011,1-4,20.0,,12.07,
54,2012,1-4,24.0,,15.36,
54,2013,1-4,20.0,,13.0,
54,2014,1-4,15.0,,10.05,
54,2015,1-4,7.0,,4.63,
54,Year,1-4,,,,Lafayette
55,2003,1-4,,*,,
55,2006,1-4,,*,,
55,2011,1-4,,*,,
55,2013,1-4,,*,,
55,2015,1-4,,*,,
55,2001,1-4,25.0,,12.51,
55,2002,1-4,25.0,,12.15,
55,2003,1-4,17.0,,8.41,
55,2004,1-4,21.0,,9.97,
55,2005,1-4,22.0,,10.62,
55,2006,1-4,16.0,,7.86,
55,2007,1-4,29.0,,13.72,
55,2008,1-4,28.0,,13.02,
55,2009,1-4,23.0,,10.48,
55,2010,1-4,23.0,,10.45,
55,2011,1-4,19.0,,9.14,
55,2012,1-4,22.0,,10.79,
55,2013,1-4,18.0,,9.11,
55,2014,1-4,21.0,,10.82,
55,2015,1-4,12.0,,6.19,
55,Year,1-4,,,,Lawrence
56,Year,1-4,,,,Lewis
57,2001,1-4,,*,,
57,2004,1-4,,*,,
57,2014,1-4,,*,,
57,2001,1-4,10.0,,4.17,
57,2002,1-4,23.0,,9.51,
57,2003,1-4,24.0,,9.43,
57,2004,1-4,14.0,,5.41,
57,2005,1-4,20.0,,7.29,
57,2006,1-4,23.0,,7.79,
57,2007,1-4,29.0,,9.52,
57,2008,1-4,40.0,,12.71,
57,2009,1-4,25.0,,7.69,
57,2010,1-4,31.0,,9.33,
57,2011,1-4,30.0,,9.48,
57,2012,1-4,29.0,,9.44,
57,2013,1-4,21.0,,7.04,
57,2014,1-4,15.0,,5.05,
57,2015,1-4,20.0,,6.98,
57,Year,1-4,,,,Lincoln
58,Year,1-4,,,,Linn
59,Year,1-4,,,,Livingston
60,Year,1-4,,,,Macon
61,Year,1-4,,,,Madison
62,Year,1-4,,,,Maries
63,2001,1-4,,*,,
63,2002,1-4,,*,,
63,2003,1-4,,*,,
63,2004,1-4,,*,,
63,2006,1-4,,*,,
63,2008,1-4,,*,,
63,2010,1-4,,*,,
63,2012,1-4,,*,,
63,2013,1-4,,*,,
63,2014,1-4,,*,,
63,2015,1-4,,*,,
63,2001,1-4,10.0,,6.83,
63,2002,1-4,11.0,,7.36,
63,2003,1-4,13.0,,8.47,
63,2004,1-4,15.0,,9.66,
0,Year,5-9,,,,County
1,Year,5-9,,,,Adair
2,Year,5-9,,,,Andrew
3,Year,5-9,,,,Atchison
4,Year,5-9,,,,Audrain
5,Year,5-9,,,,Barry
6,Year,5-9,,,,Barton
7,Year,5-9,,,,Bates
8,Year,5-9,,,,Benton
9,Year,5-9,,,,Bollinger
10,2001,5-9,,*,,
10,2002,5-9,,*,,
10,2003,5-9,,*,,
10,2004,5-9,,*,,
10,2005,5-9,,*,,
10,2006,5-9,,*,,
10,2007,5-9,,*,,
10,2008,5-9,,*,,
10,2009,5-9,,*,,
10,2010,5-9,,*,,
10,2011,5-9,,*,,
10,2012,5-9,,*,,
10,2013,5-9,,*,,
10,2014,5-9,,*,,
10,2001,5-9,14.0,,1.66,
10,2002,5-9,15.0,,1.78,
10,2003,5-9,11.0,,1.31,
10,2004,5-9,11.0,,1.32,
10,2005,5-9,13.0,,1.54,
10,2006,5-9,10.0,,1.12,
10,2007,5-9,10.0,,1.12,
10,2008,5-9,12.0,,1.32,
10,2009,5-9,14.0,,1.49,
10,2010,5-9,13.0,,1.37,
10,2011,5-9,9.0,,0.93,
10,2012,5-9,11.0,,1.11,
10,2013,5-9,15.0,,1.48,
10,2014,5-9,16.0,,1.6,
10,2015,5-9,26.0,,2.59,
10,Year,5-9,,,,Boone
11,2001,5-9,,*,,
11,2002,5-9,,*,,
11,2003,5-9,,*,,
11,2004,5-9,,*,,
11,2005,5-9,,*,,
11,2006,5-9,,*,,
11,2007,5-9,,*,,
11,2008,5-9,,*,,
11,2009,5-9,,*,,
11,2010,5-9,,*,,
11,2011,5-9,,*,,
11,2012,5-9,,*,,
11,2013,5-9,,*,,
11,2014,5-9,,*,,
11,2015,5-9,,*,,
11,2001,5-9,8.0,,1.43,
11,2002,5-9,6.0,,1.09,
11,2003,5-9,16.0,,2.97,
11,2004,5-9,9.0,,1.68,
11,2005,5-9,6.0,,1.12,
11,2006,5-9,17.0,,3.21,
11,2007,5-9,14.0,,2.52,
11,2008,5-9,6.0,,1.07,
11,2009,5-9,9.0,,1.57,
11,2010,5-9,7.0,,1.23,
11,2011,5-9,13.0,,2.22,
11,2012,5-9,14.0,,2.38,
11,2013,5-9,11.0,,1.86,
11,2014,5-9,9.0,,1.54,
11,2015,5-9,18.0,,3.15,
11,Year,5-9,,,,Buchanan
12,2001,5-9,,*,,
12,2002,5-9,,*,,
12,2003,5-9,,*,,
12,2004,5-9,,*,,
12,2005,5-9,,*,,
12,2006,5-9,,*,,
12,2007,5-9,,*,,
12,2008,5-9,,*,,
12,2009,5-9,,*,,
12,2010,5-9,,*,,
12,2011,5-9,,*,,
12,2012,5-9,,*,,
12,2013,5-9,,*,,
12,2014,5-9,,*,,
12,2015,5-9,,*,,
12,2001,5-9,17.0,,6.5,
12,2002,5-9,11.0,,4.3,
12,2003,5-9,11.0,,4.3,
12,2004,5-9,16.0,,6.02,
12,2005,5-9,8.0,,2.93,
12,2006,5-9,10.0,,3.61,
12,2007,5-9,9.0,,3.17,
12,2008,5-9,13.0,,4.53,
12,2009,5-9,11.0,,3.85,
12,2010,5-9,13.0,,4.5,
12,2011,5-9,12.0,,4.13,
12,2012,5-9,13.0,,4.5,
12,2013,5-9,8.0,,2.79,
12,2014,5-9,10.0,,3.52,
12,2015,5-9,12.0,,4.32,
12,Year,5-9,,,,Butler
13,Year,5-9,,,,Caldwell
14,Year,5-9,,,,Callaway
15,Year,5-9,,,,Camden
16,2001,5-9,,*,,
16,2002,5-9,,*,,
16,2003,5-9,,*,,
16,2004,5-9,,*,,
16,2005,5-9,,*,,
16,2006,5-9,,*,,
16,2007,5-9,,*,,
16,2008,5-9,,*,,
16,2009,5-9,,*,,
16,2010,5-9,,*,,
16,2011,5-9,,*,,
16,2012,5-9,,*,,
16,2013,5-9,,*,,
16,2014,5-9,,*,,
16,2015,5-9,,*,,
16,2001,5-9,10.0,,2.25,
16,2002,5-9,9.0,,2.1,
16,2003,5-9,18.0,,4.28,
16,2004,5-9,6.0,,1.46,
16,2005,5-9,6.0,,1.42,
16,2006,5-9,5.0,,1.12,
16,2007,5-9,6.0,,1.37,
16,2008,5-9,12.0,,2.7,
16,2009,5-9,8.0,,1.76,
16,2010,5-9,9.0,,1.95,
16,2011,5-9,6.0,,1.27,
16,2012,5-9,11.0,,2.33,
16,2013,5-9,6.0,,1.26,
16,2014,5-9,13.0,,2.7,
16,2015,5-9,12.0,,2.49,
16,Year,5-9,,,,Cape Girardeau
17,Year,5-9,,,,Carroll
18,Year,5-9,,,,Carter
19,Year,5-9,,,,Cass
20,Year,5-9,,,,Cedar
21,Year,5-9,,,,Chariton
22,Year,5-9,,,,Christian
23,Year,5-9,,,,Clark
24,2002,5-9,,*,,
24,2003,5-9,,*,,
24,2004,5-9,,*,,
24,2006,5-9,,*,,
24,2007,5-9,,*,,
24,2008,5-9,,*,,
24,2010,5-9,,*,,
24,2011,5-9,,*,,
24,2014,5-9,,*,,
24,2015,5-9,,*,,
24,2001,5-9,20.0,,1.48,
24,2002,5-9,17.0,,1.26,
24,2003,5-9,16.0,,1.17,
24,2004,5-9,11.0,,0.79,
24,2005,5-9,22.0,,1.54,
24,2006,5-9,17.0,,1.12,
24,2007,5-9,14.0,,0.91,
24,2008,5-9,18.0,,1.12,
24,2009,5-9,20.0,,1.24,
24,2010,5-9,17.0,,1.04,
24,2011,5-9,18.0,,1.09,
24,2012,5-9,21.0,,1.27,
24,2013,5-9,20.0,,1.18,
24,2014,5-9,18.0,,1.07,
24,2015,5-9,18.0,,1.08,
24,Year,5-9,,,,Clay
25,Year,5-9,,,,Clinton
26,2001,5-9,,*,,
26,2002,5-9,,*,,
26,2003,5-9,,*,,
26,2004,5-9,,*,,
26,2005,5-9,,*,,
26,2006,5-9,,*,,
26,2007,5-9,,*,,
26,2008,5-9,,*,,
26,2009,5-9,,*,,
26,2010,5-9,,*,,
26,2011,5-9,,*,,
26,2012,5-9,,*,,
26,2013,5-9,,*,,
26,2014,5-9,,*,,
26,2001,5-9,7.0,,1.49,
26,2002,5-9,11.0,,2.39,
26,2003,5-9,10.0,,2.16,
26,2004,5-9,11.0,,2.38,
26,2005,5-9,10.0,,2.09,
26,2006,5-9,10.0,,2.12,
26,2007,5-9,7.0,,1.48,
26,2008,5-9,5.0,,1.04,
26,2009,5-9,11.0,,2.25,
26,2010,5-9,10.0,,2.0,
26,2011,5-9,10.0,,1.95,
26,2012,5-9,6.0,,1.17,
26,2013,5-9,13.0,,2.54,
26,2014,5-9,8.0,,1.61,
26,2015,5-9,25.0,,5.14,
26,Year,5-9,,,,Cole
27,Year,5-9,,,,Cooper
28,Year,5-9,,,,Crawford
29,Year,5-9,,,,Dade
30,Year,5-9,,,,Dallas
31,Year,5-9,,,,Daviess
32,Year,5-9,,,,DeKalb
33,Year,5-9,,,,Dent
34,Year,5-9,,,,Douglas
35,2001,5-9,,*,,
35,2002,5-9,,*,,
35,2003,5-9,,*,,
35,2004,5-9,,*,,
35,2005,5-9,,*,,
35,2006,5-9,,*,,
35,2007,5-9,,*,,
35,2008,5-9,,*,,
35,2009,5-9,,*,,
35,2010,5-9,,*,,
35,2011,5-9,,*,,
35,2012,5-9,,*,,
35,2013,5-9,,*,,
35,2014,5-9,,*,,
35,2015,5-9,,*,,
35,2001,5-9,13.0,,5.66,
35,2002,5-9,9.0,,4.0,
35,2003,5-9,9.0,,3.96,
35,2004,5-9,17.0,,7.65,
35,2005,5-9,11.0,,4.88,
35,2006,5-9,11.0,,5.0,
35,2007,5-9,14.0,,6.34,
35,2008,5-9,7.0,,3.17,
35,2009,5-9,13.0,,5.85,
35,2010,5-9,13.0,,5.94,
35,2011,5-9,17.0,,7.72,
35,2012,5-9,16.0,,7.02,
35,2013,5-9,11.0,,4.84,
35,2014,5-9,12.0,,5.4,
35,2015,5-9,11.0,,5.05,
35,Year,5-9,,,,Dunklin
36,2001,5-9,,*,,
36,2002,5-9,,*,,
36,2003,5-9,,*,,
36,2004,5-9,,*,,
36,2005,5-9,,*,,
36,2006,5-9,,*,,
36,2007,5-9,,*,,
36,2008,5-9,,*,,
36,2010,5-9,,*,,
36,2011,5-9,,*,,
36,2012,5-9,,*,,
36,2014,5-9,,*,,
36,2001,5-9,14.0,,2.0,
36,2002,5-9,14.0,,2.04,
36,2003,5-9,11.0,,1.6,
36,2004,5-9,19.0,,2.78,
36,2005,5-9,12.0,,1.73,
36,2006,5-9,5.0,,0.72,
36,2007,5-9,7.0,,1.0,
36,2008,5-9,8.0,,1.12,
36,2009,5-9,22.0,,3.17,
36,2010,5-9,13.0,,1.88,
36,2011,5-9,12.0,,1.77,
36,2012,5-9,6.0,,0.9,
36,2013,5-9,28.0,,4.21,
36,2014,5-9,19.0,,2.86,
36,2015,5-9,23.0,,3.46,
36,Year,5-9,,,,Franklin
37,Year,5-9,,,,Gasconade
38,Year,5-9,,,,Gentry
39,2001,5-9,,*,,
39,2002,5-9,,*,,
39,2003,5-9,,*,,
39,2004,5-9,,*,,
39,2001,5-9,11.0,,0.75,
39,2002,5-9,15.0,,1.03,
39,2003,5-9,10.0,,0.69,
39,2004,5-9,14.0,,0.95,
39,2005,5-9,24.0,,1.62,
39,2006,5-9,30.0,,1.98,
39,2007,5-9,35.0,,2.25,
39,2008,5-9,32.0,,2.04,
39,2009,5-9,38.0,,2.38,
39,2010,5-9,39.0,,2.42,
39,2011,5-9,33.0,,2.0,
39,2012,5-9,23.0,,1.39,
39,2013,5-9,31.0,,1.83,
39,2014,5-9,28.0,,1.65,
39,2015,5-9,20.0,,1.18,
39,Year,5-9,,,,Greene
40,Year,5-9,,,,Grundy
41,Year,5-9,,,,Harrison
42,Year,5-9,,,,Henry
43,Year,5-9,,,,Hickory
44,Year,5-9,,,,Holt
45,Year,5-9,,,,Howard
46,Year,5-9,,,,Howell
47,Year,5-9,,,,Iron
48,2001,5-9,55.0,,1.21,
48,2002,5-9,57.0,,1.29,
48,2003,5-9,45.0,,1.04,
48,2004,5-9,69.0,,1.63,
48,2005,5-9,73.0,,1.72,
48,2006,5-9,41.0,,0.95,
48,2007,5-9,48.0,,1.1,
48,2008,5-9,62.0,,1.39,
48,2009,5-9,56.0,,1.23,
48,2010,5-9,63.0,,1.37,
48,2011,5-9,64.0,,1.39,
48,2012,5-9,55.0,,1.19,
48,2013,5-9,77.0,,1.67,
48,2014,5-9,78.0,,1.68,
48,2015,5-9,72.0,,1.54,
48,Year,5-9,,,,Jackson
49,2001,5-9,,*,,
49,2003,5-9,,*,,
49,2006,5-9,,*,,
49,2015,5-9,,*,,
49,2001,5-9,19.0,,2.57,
49,2002,5-9,25.0,,3.4,
49,2003,5-9,17.0,,2.29,
49,2004,5-9,34.0,,4.51,
49,2005,5-9,24.0,,3.15,
49,2006,5-9,17.0,,2.16,
49,2007,5-9,32.0,,3.93,
49,2008,5-9,21.0,,2.56,
49,2009,5-9,38.0,,4.54,
49,2010,5-9,28.0,,3.26,
49,2011,5-9,24.0,,2.82,
49,2012,5-9,27.0,,3.29,
49,2013,5-9,29.0,,3.45,
49,2014,5-9,21.0,,2.46,
49,2015,5-9,16.0,,1.88,
49,Year,5-9,,,,Jasper
50,2005,5-9,,*,,
50,2006,5-9,,*,,
50,2007,5-9,,*,,
50,2008,5-9,,*,,
50,2014,5-9,,*,,
50,2001,5-9,25.0,,1.65,
50,2002,5-9,38.0,,2.52,
50,2003,5-9,25.0,,1.68,
50,2004,5-9,24.0,,1.59,
50,2005,5-9,14.0,,0.92,
50,2006,5-9,17.0,,1.12,
50,2007,5-9,17.0,,1.12,
50,2008,5-9,18.0,,1.19,
50,2009,5-9,26.0,,1.73,
50,2010,5-9,21.0,,1.39,
50,2011,5-9,24.0,,1.59,
50,2012,5-9,20.0,,1.33,
50,2013,5-9,21.0,,1.38,
50,2014,5-9,18.0,,1.19,
50,2015,5-9,22.0,,1.45,
50,Year,5-9,,,,Jefferson
51,Year,5-9,,,,Johnson
52,Year,5-9,,,,Knox
53,Year,5-9,,,,Laclede
54,Year,5-9,,,,Lafayette
55,Year,5-9,,,,Lawrence
56,Year,5-9,,,,Lewis
57,2001,5-9,,*,,
57,2002,5-9,,*,,
57,2003,5-9,,*,,
57,2004,5-9,,*,,
57,2005,5-9,,*,,
57,2006,5-9,,*,,
57,2007,5-9,,*,,
57,2008,5-9,,*,,
57,2009,5-9,,*,,
57,2010,5-9,,*,,
57,2011,5-9,,*,,
57,2012,5-9,,*,,
57,2013,5-9,,*,,
57,2014,5-9,,*,,
57,2015,5-9,,*,,
57,2001,5-9,8.0,,2.31,
57,2002,5-9,9.0,,2.54,
57,2003,5-9,9.0,,2.54,
57,2004,5-9,8.0,,2.25,
57,2005,5-9,8.0,,2.17,
57,2006,5-9,6.0,,1.56,
57,2007,5-9,9.0,,2.24,
57,2008,5-9,16.0,,3.93,
57,2009,5-9,13.0,,3.27,
57,2010,5-9,12.0,,2.98,
57,2011,5-9,19.0,,4.67,
57,2012,5-9,17.0,,4.19,
57,2013,5-9,12.0,,2.94,
57,2014,5-9,14.0,,3.47,
57,2015,5-9,8.0,,2.02,
57,Year,5-9,,,,Lincoln
58,Year,5-9,,,,Linn
59,Year,5-9,,,,Livingston
60,Year,5-9,,,,Macon
61,Year,5-9,,,,Madison
62,Year,5-9,,,,Maries
63,Year,5-9,,,,Marion
64,Year,5-9,,,,McDonald
65,Year,5-9,,,,Mercer
66,Year,5-9,,,,Miller
67,Year,5-9,,,,Mississippi
68,Year,5-9,,,,Moniteau
69,Year,5-9,,,,Monroe
70,Year,5-9,,,,Montgomery
71,Year,5-9,,,,Morgan
72,Year,5-9,,,,New Madrid
73,2001,5-9,,*,,
73,2002,5-9,,*,,
73,2003,5-9,,*,,
73,2005,5-9,,*,,
73,2006,5-9,,*,,
73,2007,5-9,,*,,
73,2008,5-9,,*,,
73,2010,5-9,,*,,
73,2011,5-9,,*,,
73,2012,5-9,,*,,
73,2013,5-9,,*,,
73,2015,5-9,,*,,
73,2001,5-9,13.0,,3.32,
73,2002,5-9,16.0,,4.11,
73,2003,5-9,14.0,,3.55,
73,2004,5-9,21.0,,5.24,
73,2005,5-9,13.0,,3.25,
73,2006,5-9,12.0,,2.98,
73,2007,5-9,13.0,,3.19,
73,2008,5-9,6.0,,1.51,
73,2009,5-9,20.0,,5.09,
73,2010,5-9,15.0,,3.79,
73,2011,5-9,10.0,,2.47,
73,2012,5-9,12.0,,2.98,
73,2013,5-9,14.0,,3.52,
73,2014,5-9,21.0,,5.28,
73,2015,5-9,12.0,,3.05,
73,Year,5-9,,,,Newton
74,Year,5-9,,,,Nodaway
75,Year,5-9,,,,Oregon
76,Year,5-9,,,,Osage
77,Year,5-9,,,,Ozark
78,Year,5-9,,,,Pemiscot
79,Year,5-9,,,,Perry
80,Year,5-9,,,,Pettis
81,Year,5-9,,,,Phelps
82,Year,5-9,,,,Pike
83,Year,5-9,,,,Platte
84,Year,5-9,,,,Polk
85,Year,5-9,,,,Pulaski
86,Year,5-9,,,,Putnam
87,Year,5-9,,,,Ralls
88,Year,5-9,,,,Randolph
89,Year,5-9,,,,Ray
90,Year,5-9,,,,Reynolds
91,Year,5-9,,,,Ripley
92,Year,5-9,,,,Saline
93,Year,5-9,,,,Schuyler
94,Year,5-9,,,,Scotland
95,Year,5-9,,,,Scott
96,Year,5-9,,,,Shannon
97,Year,5-9,,,,Shelby
98,2013,5-9,,*,,
98,2014,5-9,,*,,
98,2001,5-9,25.0,,1.07,
98,2002,5-9,23.0,,0.97,
98,2003,5-9,30.0,,1.25,
98,2004,5-9,26.0,,1.06,
98,2005,5-9,23.0,,0.92,
98,2006,5-9,26.0,,1.03,
98,2007,5-9,22.0,,0.86,
98,2008,5-9,23.0,,0.9,
98,2009,5-9,33.0,,1.27,
98,2010,5-9,25.0,,0.95,
98,2011,5-9,31.0,,1.2,
98,2012,5-9,33.0,,1.28,
98,2013,5-9,19.0,,0.73,
98,2014,5-9,18.0,,0.7,
98,2015,5-9,23.0,,0.89,
98,Year,5-9,,,,St. Charles
99,Year,5-9,,,,St. Clair
100,2001,5-9,,*,,
100,2002,5-9,,*,,
100,2003,5-9,,*,,
100,2004,5-9,,*,,
100,2005,5-9,,*,,
100,2006,5-9,,*,,
100,2007,5-9,,*,,
100,2008,5-9,,*,,
100,2009,5-9,,*,,
100,2010,5-9,,*,,
100,2011,5-9,,*,,
100,2012,5-9,,*,,
100,2013,5-9,,*,,
100,2001,5-9,12.0,,3.35,
100,2002,5-9,19.0,,5.33,
100,2003,5-9,14.0,,3.82,
100,2004,5-9,18.0,,4.94,
100,2005,5-9,12.0,,3.16,
100,2006,5-9,14.0,,3.64,
100,2007,5-9,10.0,,2.54,
100,2008,5-9,14.0,,3.58,
100,2009,5-9,19.0,,4.76,
100,2010,5-9,19.0,,4.69,
100,2011,5-9,16.0,,3.98,
100,2012,5-9,19.0,,4.65,
100,2013,5-9,10.0,,2.42,
100,2014,5-9,20.0,,4.82,
100,2015,5-9,21.0,,5.11,
100,Year,5-9,,,,St. Francois
101,2006,5-9,,*,,
101,2008,5-9,,*,,
101,2010,5-9,,*,,
101,2001,5-9,40.0,,1.6,
101,2002,5-9,33.0,,1.41,
101,2003,5-9,29.0,,1.32,
101,2004,5-9,34.0,,1.66,
101,2005,5-9,37.0,,1.89,
101,2006,5-9,17.0,,0.9,
101,2007,5-9,22.0,,1.2,
101,2008,5-9,18.0,,1.0,
101,2009,5-9,40.0,,2.27,
101,2010,5-9,17.0,,0.98,
101,2011,5-9,30.0,,1.72,
101,2012,5-9,22.0,,1.24,
101,2013,5-9,22.0,,1.22,
101,2014,5-9,25.0,,1.37,
101,2015,5-9,31.0,,1.72,
101,Year,5-9,,,,St. Louis City
102,2001,5-9,73.0,,1.04,
102,2002,5-9,66.0,,0.96,
102,2003,5-9,87.0,,1.3,
102,2004,5-9,80.0,,1.22,
102,2005,5-9,76.0,,1.18,
102,2006,5-9,78.0,,1.22,
102,2007,5-9,50.0,,0.79,
102,2008,5-9,63.0,,1.0,
102,2009,5-9,67.0,,1.07,
102,2010,5-9,58.0,,0.92,
102,2011,5-9,63.0,,1.01,
102,2012,5-9,72.0,,1.12,
102,2013,5-9,74.0,,1.2,
102,2014,5-9,68.0,,1.12,
102,2015,5-9,88.0,,1.46,
102,Year,5-9,,,,St. Louis County
103,Year,5-9,,,,Ste. Genevieve
104,2001,5-9,,*,,
104,2002,5-9,,*,,
104,2003,5-9,,*,,
104,2004,5-9,,*,,
104,2005,5-9,,*,,
104,2006,5-9,,*,,
104,2007,5-9,,*,,
104,2008,5-9,,*,,
104,2009,5-9,,*,,
104,2010,5-9,,*,,
104,2011,5-9,,*,,
104,2012,5-9,,*,,
104,2013,5-9,,*,,
104,2014,5-9,,*,,
104,2015,5-9,,*,,
104,2001,5-9,9.0,,4.87,
104,2002,5-9,12.0,,6.6,
104,2003,5-9,7.0,,3.88,
104,2004,5-9,11.0,,5.95,
104,2005,5-9,14.0,,7.59,
104,2006,5-9,10.0,,5.27,
104,2007,5-9,8.0,,4.22,
104,2008,5-9,9.0,,4.74,
104,2009,5-9,7.0,,3.75,
104,2010,5-9,7.0,,3.71,
104,2011,5-9,5.0,,2.68,
104,2012,5-9,10.0,,5.3,
104,2013,5-9,7.0,,3.7,
104,2014,5-9,6.0,,3.15,
104,2015,5-9,6.0,,3.29,
104,Year,5-9,,,,Stoddard
105,Year,5-9,,,,Stone
106,Year,5-9,,,,Sullivan
107,Year,5-9,,,,Taney
108,Year,5-9,,,,Texas
109,Year,5-9,,,,Vernon
110,Year,5-9,,,,Warren
111,Year,5-9,,,,Washington
112,Year,5-9,,,,Wayne
113,Year,5-9,,,,Webster
114,Year,5-9,,,,Worth
115,Year,5-9,,,,Wright
116,2001,5-9,687.0,,1.76,
116,2002,5-9,732.0,,1.9,
116,2003,5-9,685.0,,1.8,
116,2004,5-9,834.0,,2.21,
116,2005,5-9,722.0,,1.91,
116,2006,5-9,644.0,,1.69,
116,2007,5-9,617.0,,1.6,
116,2008,5-9,659.0,,1.71,
116,2009,5-9,778.0,,2.0,
116,2010,5-9,700.0,,1.79,
116,2011,5-9,738.0,,1.89,
116,2012,5-9,716.0,,1.83,
116,2013,5-9,758.0,,1.93,
116,2014,5-9,742.0,,1.9,
116,2015,5-9,813.0,,2.1,
116,Year,5-9,,,,Total for selection
117,2001,5-9,687.0,,1.76,
117,2002,5-9,732.0,,1.9,
117,2003,5-9,685.0,,1.8,
117,2004,5-9,834.0,,2.21,
117,2005,5-9,723.0,,1.91,
117,2006,5-9,644.0,,1.69,
117,2007,5-9,617.0,,1.6,
117,2008,5-9,659.0,,1.71,
117,2009,5-9,779.0,,2.0,
117,2010,5-9,700.0,,1.79,
117,2011,5-9,738.0,,1.89,
117,2012,5-9,716.0,,1.83,
117,2013,5-9,758.0,,1.93,
117,2014,5-9,743.0,,1.91,
117,2015,5-9,813.0,,2.1,
117,Year,5-9,,,,Missouri
0,Year,10-14,,,,County
1,Total for selection,10-14,47.0,,2.38,
1,Year,10-14,,,,Adair
2,Total for selection,10-14,16.0,*,0.84,
2,Year,10-14,,,,Andrew
3,Total for selection,10-14,20.0,,3.62,
3,Year,10-14,,,,Atchison
4,Total for selection,10-14,67.0,,2.54,
4,Year,10-14,,,,Audrain
5,2001,10-14,,*,,
5,2002,10-14,,*,,
5,2003,10-14,,*,,
5,2004,10-14,,*,,
5,2005,10-14,,*,,
5,2006,10-14,,*,,
5,2007,10-14,,*,,
5,2008,10-14,,*,,
5,2009,10-14,,*,,
5,2010,10-14,,*,,
5,2011,10-14,,*,,
5,2012,10-14,,*,,
5,2013,10-14,,*,,
5,2014,10-14,,*,,
5,2015,10-14,,*,,
5,2001,10-14,6.0,,2.36,
5,2002,10-14,7.0,,2.71,
5,2003,10-14,5.0,,1.87,
5,2004,10-14,13.0,,4.87,
5,2005,10-14,7.0,,2.59,
5,2006,10-14,14.0,,5.18,
5,2007,10-14,9.0,,3.36,
5,2008,10-14,12.0,,4.54,
5,2009,10-14,5.0,,1.94,
5,2010,10-14,6.0,,2.38,
5,2011,10-14,8.0,,3.35,
5,2012,10-14,11.0,,4.69,
5,2013,10-14,9.0,,3.86,
5,2014,10-14,7.0,,3.08,
5,2015,10-14,14.0,,6.22,
5,Total for selection,10-14,133.0,,3.51,
5,Year,10-14,,,,Barry
6,Total for selection,10-14,53.0,,3.65,
6,Year,10-14,,,,Barton
7,Total for selection,10-14,77.0,,4.13,
7,Year,10-14,,,,Bates
8,Total for selection,10-14,24.0,,1.5,
8,Year,10-14,,,,Benton
9,Total for selection,10-14,34.0,,2.54,
9,Year,10-14,,,,Bollinger
10,2001,10-14,,*,,
10,2002,10-14,,*,,
10,2003,10-14,,*,,
10,2004,10-14,,*,,
10,2005,10-14,,*,,
10,2006,10-14,,*,,
10,2007,10-14,,*,,
10,2008,10-14,,*,,
10,2009,10-14,,*,,
10,2010,10-14,,*,,
10,2011,10-14,,*,,
10,2012,10-14,,*,,
10,2013,10-14,,*,,
10,2014,10-14,,*,,
10,2015,10-14,,*,,
10,2001,10-14,16.0,,1.81,
10,2002,10-14,7.0,,0.79,
10,2003,10-14,9.0,,1.01,
10,2004,10-14,9.0,,1.02,
10,2005,10-14,12.0,,1.38,
10,2006,10-14,15.0,,1.71,
10,2007,10-14,14.0,,1.58,
10,2008,10-14,14.0,,1.58,
10,2009,10-14,16.0,,1.8,
10,2010,10-14,7.0,,0.77,
10,2011,10-14,12.0,,1.29,
10,2012,10-14,7.0,,0.75,
10,2013,10-14,15.0,,1.6,
10,2014,10-14,12.0,,1.27,
10,2015,10-14,11.0,,1.12,
10,Total for selection,10-14,176.0,,1.3,
10,Year,10-14,,,,Boone
11,2001,10-14,,*,,
11,2003,10-14,,*,,
11,2004,10-14,,*,,
11,2006,10-14,,*,,
11,2007,10-14,,*,,
11,2008,10-14,,*,,
11,2009,10-14,,*,,
11,2010,10-14,,*,,
11,2011,10-14,,*,,
11,2013,10-14,,*,,
11,2014,10-14,,*,,
11,2015,10-14,,*,,
11,2001,10-14,19.0,,3.16,
11,2002,10-14,21.0,,3.53,
11,2003,10-14,14.0,,2.34,
11,2004,10-14,10.0,,1.71,
11,2005,10-14,26.0,,4.49,
11,2006,10-14,10.0,,1.77,
11,2007,10-14,9.0,,1.59,
11,2008,10-14,12.0,,2.15,
11,2009,10-14,6.0,,1.08,
11,2010,10-14,12.0,,2.17,
11,2011,10-14,13.0,,2.36,
11,2012,10-14,21.0,,3.83,
