Country / territory of asylum/residence,Year,Value
Denmark,2009,11152312171042139242101314511323131217511082711112122111141151212922151111231122103055151323313512111643211547130131131211411153723124111217423221222111164312161311511
Denmark,2010,612313118431821564212317321122213111910933711171211111911212125124244121225451222013364511291210212533212021580211226211111171323128811423151
Denmark,2011,1445111122121124145121123211327741212541112511212314322532543132243413210242212115141222539022431217452162221111911312741132663813111192935254102161
Denmark,2012,172223541135251121248105268221192712610107114811511816121210161411111111011212951511132415911115374419251842311611112314511261441261941334436713911111621267214149411113174638
Denmark,2013,1111417944121361522332516491422154233243111111146131294610211001121153931172661111431432117119161121293543413410321351251143113931217122510130172311111122101232152117231417391219138374630102411113377397912112533221443534
Denmark,2014,1181371033251110677111119512612471102422611121711110221311040373111312114411175831210411119290111155233622122320312126123191012185721168632132011839101139101051779113381143515156157761141164143231481131111112184
Denmark,2015,41575332163113710818121111182131618211220063243213320213128527156141142423886225114113420222429194836149013151532121318963721227228215116014111481823698518812129128223744951101215217126951633
Denmark,2016,916212836145324319371101617761135831321611112101144421111391225271979233135725171156916171052254117122311144661213111934113673822512132311322117911416383131320552011712269411
Denmark,2017,*****516******21*10*5*****12191122***10***41****8**************63**29**813*******9*6*928**25**5**6****11*******75*34***7**18*******8177*81065512*****7***7*9**
Denmark,2018,10*5*15**4841**6*******824*5815***5*9*18*75918****288*127*5225**4367***********22******15********11****146767***
Estonia,2003,13
Estonia,2004,1
Estonia,2005,311
Estonia,2006,12311
Estonia,2007,21
Estonia,2008,11
Estonia,2009,123211241
Estonia,2010,131
Estonia,2011,213111122111
Estonia,2012,1112111184111
Estonia,2013,71171213141131
Estonia,2014,2114222482111122273
Estonia,2015,111122621821103123111725
Estonia,2016,211113
Estonia,2017,****5*6********7
Estonia,2018,***************
Finland,1999,112275211312782184219184112102119128712311322111145312151113812713112112141514121213214213211121011212211535
Finland,2000,52142422924826141375216654123126210161344331915438121171233320913712142334144261121164716613211323418112712132
Finland,2001,18768199432137111318501210612851211164152103361321881321115745113621211111144545131511142615433224141
Finland,2002,1228122111413211645411327126134212548191383185311161013120125134225391742641046111111233110111865317121241941111222113210164111255121
Finland,2003,11192422271661436273321112229351192610118113671127411461714111138551542316652421554233531107511831172049331123413621161691432241116171
Finland,2004,552610154113113651911881211626138422412310213211411141121617764122229311332121213819641717311228138175261222171614123625711182114681201245261511211337
Finland,2005,551122123125510118413366515225303151831524181131532211328193135713891015263315255139327229562111162422923241621213921311112213317342964532251612157432117
Finland,2006,9151471225181820596612415336125211221361746414114131111183217127121312124113111411279511719421760239613235112421223732644131684121513
Finland,2007,6141121235713212111123231226231111522122212221121442517218285510123222112181115616
Finland,2008,4224321856131161533147325141161623231112211111324211321112621121213352397124191123142131115164212141244381434312221064215111411
Finland,2009,7951453521232121244112216766111533621871189413510114152117751041111385197131221235321624111351103829441315562191121122111711431714116335721141412231
Finland,2010,263313964111424112121112711262512176152401652441227853424518126321121152623111211021158112152717016181411110311142440215012113423144762215191248511314412
Finland,2011,152411119121111135125113761312131264231316111111471494193711122153223122117113417611113941115111325921511243412143517397191811911014110119231361112516614024
Finland,2012,221161112714111271132121102221514116233176111238521264471121622441311611711314161123117519212236233811241314165271171121192753110113213712122151126
Finland,2013,22231142849416641119211115463271102111374311551531621121154926441221558214811162106331111621261141316212345215621621194313615643131443165821411711491212011531
Finland,2014,11147514218252118436238719111101211111313313110136221641881412288811118152111111101121236181811141631113315412275111133149473193811143116610321017114224871125530132
Finland,2015,4622636625211990995285141036171161251153242443122391193219221933271210621123204221111113635525931525681623116229571549081512522571232117134113411615242411517333446613111111161331611341
Finland,2016,8416213932399111323223121451021147171321102496527022264613924111341532111121256181458561221012161121013281133115414912291334249271326148647170136412521455131192311374141
Finland,2017,**125***6**56**9****5*****25*********13*58****5***34*7**30*******78*8*5529*6*****68**2863*6114*8*672157****7**527*175**12***5**7351105*6110*33*****348*************
Finland,2018,***5**10*****42**56***6***8***58*****9**5***37*****7*6**55*97*****11***7****87**56*13*16*6***
France,1999,240109311931318231733425152188781226197121630112616177112113793141033134372242315420312212938213341617212431189138210317211616291711763254109929163322115313491312431131143711105115278013316721254111721819022147113210250171151006413111941623241081276502331191268411316051021113591051941271202052314559311573121415067145481491604116561271488527786331391537165141632262122118342311612496511151521413612095633691394831424313796692286
France,2000,3111499325142143611261416261271561774342411931114829191411737411161133173491733483324414354311126371432186682721701483684114771912223125153101424263023414214313181237799352281519820295121249551231216513621282338173994711971181358205115484328382251413161520352023921025352728202923114612257242343736426459113319215201572612255364411211512691622736316389195261831041238353816711710912211314828551332531122996110621849471411173415320219910445971191537425183111151340
France,2001,13185193522471423777101228026213612828052264965342613136293482204119084310268292378928842813711123711453541286111215164167183150774142912115223317322464712467142129912571232288399244110625911510555652344192861648182180391357611473519811667621162505455155324744411733265848834140267213119583254234316632554191438156361285332398113135484236681911124708891928143373321946613223918911163121209122362362213382132577268251638650851591321313423249076
France,2002,1212513886427420312101063141244453067527121637509325175714461450215187868340510722118670112262201823251420025725714441123231871440814453912111641461113135859518111766156281312371651217152711411612611739523944154144294142791247815827210960152221284316291042263415030356812010152221226033931374511592124619635214344521593963212238691141116079393729414553266273632824317337125810267142093911411151221028133189329153821911133133636211111709541346491621114381525228146428416622381102633114014104619260
France,2003,1212654172322413214449218511028349115645118171326731721046611114425244411144652992222512922312412993541824443291733103674616122854416342163484982259716434912030429542715656147236115310499729632333561971314203311377555244210835522521207187283681405911210788503417042261530321745991511411814117651561143161893350186579126626911662203111731014111142192160311005926361531051841241388103275342311826411498227537459421201221201308921119418112628353206
France,2004,39317533364639520143113101431099010425161561141618161239331262119792231648914568110914241213779124649233867922813242621134318105628543435221225878021722271112421475811513338224872622671114101356585518613313581395252241789454826123368126244111911517327110662071362871264482511934662122114138128351279850123166149727163417366286115831246421151591469125756323189239813515201018020112968217742203921024411244312048302305132627125162250322141245140228349085181416131702413181184465220798818615010183
France,2005,3106614342156321349277362113436011201121542313309669374278311290664597425190281912245265121156141331121111254154126679136823338192461351545111013139911296123173222897044812454148124269181312171128311967514152141500635100412941313951183671424118210778966523164375480108563724231175451194252584344121143923218414753011368108621444924331022531731144228121822864422133539881722743192424064103167432155164122771648312410514223
France,2006,1511669552655243181615511257307195174250112041843317234408194201316014932158413511128064313522289516288414312552891026835175333149446205951667310113381192442333190125191939112335263989125572112721528512315111419613353214421063642053020525131441191810717913596252164115183818582213720224553211815116661267119312041618145148373673646927242311418322311210632341510161423564838719662334104417911615840621
France,2007,3415133428619339014132141234720111372722651117814818320312711121361214171536322914981641905555236151272917152091535330136512123306147775202142612263312912362521321937711116111481832763451763425630232661221031041941634214246223497718185410121695194171141616842217151238887365217542111308611348323236113244341711210124506912166245911625853196777226922315830
France,2008,14924911618411614240160632312242419261359124177924192191182433235188411511412117564261213210148234123271614178845493624814222275315187153262111508546815652222117404733351784856712002610631112166135523918130983058419238322312767516642738535191414231438625531242212491815122145112269322217421741203121811255881612416272736226217111261205110311114449177214240107531573112815232756381136582461426423
France,2009,52383982101252749219552171121991355843381281270424613622628026149148026191281533817951064116666732176114811182339412279121092724791631508311179632914146192118368201841615923411931141641190264683510137113492456111519864118463374930914312113425350542970763212514121370111643328186349622462251016683631567159821441602755433513352112132901063321412132177110372733694018328117811393214384411339511514319157442183071225709127451314351222643265112581341025412111443151431102
France,2010,6028210203146340223549824294223231311551831122333141111913147296033419115321114745125213604634041185239289124174117811241111214945211273131104861111364011420413775129671314364312710356382943212173119222961136314721344155122446431777699698671131267614874222142023411172948915721522743221548054629252360101201038218175735611194184918583984457314659988269685108412515128113232116426342129771815066855818236041078131221597468129271464110110112421737615
France,2011,15252165120151782892192535615751603375218151216277012443519203401611416102541797117513123912183105661170993101847934412043713531768716926256916151314180216171321720640158635138641111473547562371413421611614044351310542121249511081202812123915315353142315836512415530867526274117401561633311234921343151973311135915197131581041053141191252917516525125181210213113116741015121228177721713234043481621953641237435042210617320691343301269121173180221111669673227423676
France,2012,9613361312534521125401391215311176221171622141412121317125661631513559320197271696220528857229949278105382046991681502486968939610713767279153155471112963311603731782171210251826197729334770914112613787111926114231177514711512392415915728112671178161331856241123071254051173272557012161941186137460101764822267621419410492142671281411301151475572651441863113163801111147155114731583261520875103116719486616778213639412558017185391102192124109606644562746418145251211023130658117571664339287237
France,2013,9129169385143261130339138011337441743152416107879107116619135581548626187146591111118125185358121136111221979521317121532110331041622287911750164221620571681346313867455212952011121312678453752315525512258364331440136143219106155462461691829795261114434224531682511934048131501109231288881190632144914139312584715164685211419213140324991201331775314321173724541833942313931677801101279622727106137718071331412391718578185771291345149655216421441871183381862109891395549119506124216548
France,2014,6422817423615137211383381542458752229488530140518144589551666453121952829761334381462024573161793474712186217206167952192216642132122231411181512155765175112769511127953277171261831111732343491191170228321037023220311345887121323258315759412817851685118447218156261116719651128224316911089613193251111583341345810051013966517185202614041425943101912171141491314863391792349323915132241922312443193494231113141528208227111388897487115115011761162572001932136432714385863282442419406148076242118298554944021213545341341703121
France,2015,24741411430668198720225611993241499212022121542411101161639636211161176767141234129201853312012106210231810792541475459922727699370173335442061142339231415866423950110416151025166492532224610227029155148171273814388174212131363047747017252115118161544427459112212113124162401512346884661273113223119672793154195599422699431244427141199415916429374545037186344897187291615233701391496681256172352515321499141312901231816251322211941635651329410052428120233521319573141176212525811864335341975324122862
France,2016,3223137601533891429832186180184138222840234292162978966123329211521265546725324255167421226703514443035011893542094211652153439231392336454216151415209251135100122001375431771711671268172932250853355914332197714813321689127127288108165471237123414610445211412141453291131612301719837230634314547711179134126140191011815131671361362224022513149911107141312861052154292293126183636951237614282901532231211161814531393127108315794023411232510715612310824926447220482940178181101112228617410430982783827816261316414111343718931463838
France,2017,421171539237512*3515*5510340474348*33358997108*5*61*26511868255816041**786625103447336*30124227228311952195*175401715116759715155*111124281225*40*9405118400*10708108144*27**10159489421698374148257*205792505473152146121363177121947*40*283341931811141615*499127142116054360165*401537*62530930519210666745*5214632366400767*531107159*15220*106333648905387335214**50205192*14467*30*73*1791243622050*219135150232927493813137510031357197156511724168361961273012863429902092596057925126*2057344262651745*705*233013511469524115162083171001054835*2210478943657955010*70385135524137543151346**981125800
France,2018,505452309535100010525513047030185200101551010501602552952401905015575195456521559020105557570235102104606516552501351514077585530410205605325701254101305152852255510404054041044015652755205555170305520952010715657013545575070103020215651523030405553529510251102050275540151040490152028528540558016560515522515225101555155558011008030510515
Germany,1999,396525337111525148263716211323317244619922021216122114253344863711742266214704375117410062502617371114832514310150378241121042736121331013612728142292163823194153312210531634043456457355618310119011606771366223616235414219453710011171889389915841162124181173284310118182484111561287013293828782147653223367371211868511125191022111643772295110813313223819481048111231121115783211124275225251520231552161571644115232116556821321110213426360096512461111248053511022312138
Germany,2000,12710957102916140647111818131116127506711116112201141519126133122442113853541891515423182131203919236962223332661251285245134630154261326282415431272131375137112142201071156342119614611166210105244812611312715041052122122016188421933241771518754371623711512386114777858185111298633112957867530720216101051973364310147530201138406452732110533210515131239311172595794441111836014893399441911413123191516218203165164147433143163253210631618296412931962521715905311961282621316039817322611556310532372337310821131120
Germany,2001,10011341452021391224411531118111723114584201338112664965924753114216168849873591297909116460464849232615815011071938513773117416787467813299121122911865182611146580641121983225219413218416662352197273117254011111212373769031145104465841575867005512381491434715427745727102523447114110338232523233349123866052021522313302754715548112521220718241113298328611283296583163131122828245132417431051231272810201112712281226424124019148212413210192428102615928129713412611249220486142610190654102423306361344330138383161781873116096232301
Germany,2002,481812427226981124741194932820413373971504719511669694551122810177670157625562548352116551451112933167631396922281362917400262497738661501208147113911874664351085161421124061631405711327313441101212013213471118912979971002157223311488358548511388146191154372041412223181162247536528880552542841143311633707381811756131550461236254313813185442311811991029716011176496672129273451867111081143583160423167974586414752362321101102165121625574164306425025711126348690564121061816733244176581152438193611119325129011162847324
Germany,2003,12323116832116446584135214541221662189261712854214208465451319781215158982873354322589214744131623181134401255103424213281352164271621319182272137130654778595411421663512053521111562041212510110271165710584131473913261739949711191721633221182013111141104222825434914252207102138133537593327861446161577528518102135918262161822547161391481652127119187713129828911441120177201431343152081441993969132111336104142081003712617416241521927140119111414198351314351181733313411102211502827101275400
Germany,2004,17202162171535150421541325159843044114222245151663426152612830591144654410914571223193191410112762110911716125683218301257187041222331141320139310127472551156202332893665138237129166531232607531345165113231211173645131211451811051928626531291488642470958311411415223012141312697281734412127219361342153124143271660661711723434105118165319325122294113137925511647202125922793221531119367131131110218723332521557803935101191928881227496
Germany,2005,69111571425795252142727354121418211842541150134448351267755159698433712111122383887134253235724142234431914814821919318831361194851171123714348112253417224185231112351413288184861614291043655281252738610264195122212689153266181184587755111326286129121171112072618212112641515951351215130204448546661627596140350311411124149823141522131125157233341234611615133153732105158721326377933210536548731521612126972101519925124
Germany,2006,481114162754115931112401911728544131104843851410519111352317414210031256534511172932926912113315735312361323351034125321610121638333328111372687714162101364441812220532302521117832291715893152447313345114335644113035924111403318218522620306131921529114275345112413612126386653182941711572413322139121264451514914110152371181032147423378363132612122116025161143635149925812333617555542910
Germany,2007,366412315112521074211116111111194115261533235013716101069618335616134814532312112621291692527233113267222134119182481111422524468421639113223121115511297651521364012935161125115211391141112418116533513384311116154130513396671552321314111924831937148176112174286526711783191726692161269717061173230610566859633215051224611118337043111459
Germany,2008,1242633615344210104834149592121023631159195421233118187228363041163411141142343101114166310212142137111747691111158531019643741397241313898711273614471223833115462115355146451351591803388821514126827111123913330215411311122671108413662614324749428141422114123121411237122971094528216612683111522867102142713832898103321512151544153138331424
Germany,2009,28124751451261941319216133151882242122114192317219610181222118132331216440712360132121032179721381641111125131462943291186552165398316218136347189439711913415131514213719627231711011589215332614326156337425360569262223114345514834711192165661947413174291515317364296154067717514711171051231242112545354792138173100241816416171131728621741113343542639957292245001265719147912771423127
Germany,2010,15116819125716123271662111054326513171419941424819212527527215151441221213226421532175221214413156723672558411040232766151258546210342111377721952111711264020334216721223102631252117141445411738523726585212497141561562490159511867857571364139122368211112831912133660865100131121134231171395822302128865129233736898512242296616318313196402441213119138012125378692452281922486519713545116142210
Germany,2011,32341611421390113229483151315123515365191220481812217724392117211109821928116421195441116791211025561430626415511062291721118161354726111312020193759110521762232222371265148208718441695414991431038571113112464997132325348187132141133564241211123324052654601567917131313953254174714042741411240322153351293672362152411848824119105513992033123543471811176382174345335311349569132145331132441331113231145371
Germany,2012,10252912114674142874411814546512257017144241263619144111969592372233101151035281591124184111172248821204121371022711211102380315156497753745565281461193160212391821611499815449531732721649655414461948424191341581513214517761383031778998662104419521151569143128371446361141721539111132366141746121329116734020184143559230304100161443942342053303111626258269163251164481116668829281691171353764772216423446923527201971823131183015781090431341
Germany,2013,918904198320811183751656102292613138118418221711381019226233603302417220916329377410877373584353113413031712529343116152258128316362863741471691766272616124189104516272257362517436751011225141203420414016101813971121313811644082463511404570904114283231816504572318252543016139143131812112308453389323111561280411143195214613542332243148122211044410255192219121387912711195311132157063412123692446678216667268816214610236185217714046222237238467624216417131372662221544591402355281168711912501311152810476
Germany,2014,111432144122825473113113019416510992312281339133137335111243312161331378614502201079531141578611321213333281913107833652131664519217811495591096521212585654411510119131572235537138211923163179031314391591252132702721119143332105544251361032398381802934205366367771322611366164321242174298321136141413421043118762032021842724414188131287115445625012013768124533581451513211511254748261391294018573631925521151835320749103742211588102112109672541514572130349442824191122512743723112622522161650256505198819181281830523326121034525963621451206869
Germany,2015,1373127781121121863120234522941111448771103552011151632941131994916962226819314354208771310294447708297136533258761268911401111471808415924127352273994895108226181671645268323414510831212619881176456517621611115345193184883215116628215724849159731169542941313381985351210227242171159641914115101211111513216401263623042412712566336343451760419922921306245421882461331540312661696497012334921308631224060113213444219262424802234411116181882111231042281207221891546232609470238716975183585893030524218250147746180853401797157121751335674914272214233134312859611161711807052332392618147262747391381081311681274411922315135110272112515288815
Germany,2016,4133465262715522251111151166611585135011021175718821221155641311793380481112901514111131257111215911712526413225451141433166669821961983302611772212906114109265120701919748311102823141646631387321492151329934363812503813184410101481257811731200929246111102611225723547365949907115606315261991167931334216352115130252911622402341362081637252441569991301581197961949179423169013620113104591771360126929198133263626868762511753098421814293591310129193301682516969113721111688111231316482174328173822278184093686052811131586768321231110222494742161192121134833735928561351326410361716921689187111582192450361011112131832433534316178713841938103769216222484299264303212361449968120161401442254851114976
Germany,2017,57*6425010314220679***151405326*6951245*22612187*7*474*282373133411698361015174791113044328*107*261510430****2372910389621013912*277**8*333180107538*951718206420714923106*69711174131106309*927450724*29*22*232*107911321476956*2722**2515*1356409*42*11*107*6334414**70720141274538591035*107729611911029794**76343178110926214*10520156*6682**161613*20030623846146417102658*11677*550*177888*258130279***6**1271761001331*56*1936818*68*3837*94144240316016344175148082101662761796**112281518733132*994830*1759*815897367**33058*713**301829***503252456122313331697223814*2113660*10912951251493709*19*148112613*8764*1733452
Germany,2018,72822**1621*21263116**8741677411***851306**56**4795213410864*12**19341613857211163445*11524047687207710*618*766327*72*677371011261150*640057*12845272173*1145*5**10*103*60*295712755229*32117615*231001240*798*121267026**895*20231262713100**73104*19107669*1672*1323*506203959778299763308424*782560139*10366746*1761010*81672265*12**1369683224566*2792230*973*6*55*56059*31913452227650884670*1269**6724100845**6642957409128*1914416**5269163488712735936871817*1325757917542*289*9*25*7844**20*16910
Greece,1999,21125112203412316413161244211646111141384122
Greece,2000,9525119515887293
Greece,2001,492110223254148118641210234263291811013317842242419155643311122671455376111524718113
Greece,2002,13231151551137211991211930111976133219616135211885230515111161522311215287722191777208141401918
Greece,2003,22153672173141113111111693418144281932226528223182411150345491164927624911943221184361142238111124454441011981116122031556421431122126321948949814
Greece,2004,135996411171335436121221223124133111113143253925428421262313123157621115121141202115122831686111441081341172111121910815693135781372111132131111067921
Greece,2005,94317153182511313515314212131154119542432115171212823938312911256361199662281595344812426299447121154531311215136247425211115236321489521495291429362732111101121163923113111
Greece,2006,122126142136722146111413225251371110413111321111419252393111226211135316132238155319112232341311410173411139513427734370252477394417272301647221041184209715116141394822117142810623413423821011117
Greece,2007,5114111893182630112113361110523133423131418192223221873172915619211412110102112110112072140122618172631677813492315263441121111111264511110511113884377251421382415413118113421091507112871191113715613973619
Greece,2008,13121021313212181113912063437381435012249326612219412250219121321106118603151123491110348924123428111061280324311161657311413513172021517738610212228327012111131114157861311261025118143571942781628304659716538711211107738115716
Greece,2009,542231114230311941106151113371783114524115888015814176594197911221162268413413696131283851112112192137116927121018483265213161611214171876811272513412154415741110105111045101234856111133212332513111311214124116105
Greece,2010,7134591126252217162251712421112112183151277738283122711132129331615461628711429845731145320332462157101278392376630222414821123269133153185121226041210191046262112352117322531641024924162161928630
Greece,2011,38261201112102524412931432321262711116256111214194316121331261124133341332534317611012142511114146541555332522131221163811652351120132114771071529312634145184512153333211658115
Greece,2012,142359100138143111263511272642851611171387115191182242121371335123152231676116412209138119231465112312135131518614542112411313731421734283141137578249257294228166111512112434952174142671693121413153
Greece,2013,2819332714133204531013122201053415196161122121242411612248610159653110310211118712321616122437109132118611728589242441229131634232814211392111391045313125621330323868102107173105119221151111242861181232103256141205121245110217224331174142117
Greece,2014,536369331333435615131459511401111313111152211316141224191736221243112221231732181631112216333612117122161571551193444127422213131170316173211857313412124255961111193123052215115121684121810521711133122173512292161532
Greece,2015,6147254412431121111251223311211133618141211649751176712211214412442112311453112126791833114104101069212613211221513148374353321361162371551112114635463521237194411212562871631822131423813212431155151441011333333114211247539152482542164317
Greece,2016,41042110551075105693143751117265511010105259803101111151725152610114271318504354520182142131059545515357104011560120569107151520551220810512119100314345966101060216015274412014565535016052527704335451201025115270245252
Greece,2017,1551555500555105105555058051075101205101521511055510155052555555105185555515525545655602555105545130520510670555530540572051020101351554551514050555553080955405511070655155754025054055561051052011559056405207522517595
Greece,2018,4051555513510101040515551070156752205105355151020115105516653045101551555107405415551555902520105001406955551251255201510145701556555255555256530302058051055515105535510594510558301025
Hungary,1999,28187114827192418823160117529316151131514112121421142291915104031214211312116124326141511110141211017112131666914832919173419116133535751125471111419897173512075111
Hungary,2000,1298841312253213820118251123164856916413331101186143135212813751442111679822122163293332843149718212377172332148115144219111219943531123515914328115353110
Hungary,2001,75332013341233142223316192211513727273351226152016431318615721181231244952423217424183111322475271163310285118223211133133625511178818301424942
Hungary,2002,1313745212323161912257113611532819742826412111010613821111116126303117371924771316221139552612141341811384213431901743211910139
Hungary,2003,4111521827441431952011216111729413366133513271111710276142241137102331186372211122161776182135379622
Hungary,2004,67244433216213112211711311321518275101923114821111411222327132717341814152516132105210712013416152723122315112991
Hungary,2005,11432361062231217614412511564521711111221115111419281311211114313136111116221121121111462421224
Hungary,2006,11713381221223011182533653731111921415113031012134218161216122612111789261221821028429123117141718111131161161414141143641256
Hungary,2007,197211111152112145223112821101167112116142151211111211562101198941175522739133110112331441111411181162161113214111121671452103
Hungary,2008,161911171111410751341110211811112171011949346321822153221551131111271111646211232165793232122230122358
Hungary,2009,115211393972344215321110428132111811142134531112225534551576311511914411175213728511754582192177191711157412212
Hungary,2010,225322311852131145211133213161141115331157686124745214511214722213154281215621233315247141111101511961121125133
Hungary,2011,611123291413561111481112323185191151451114111131483564111121132211225211523937
Hungary,2012,171215135512111913611111219154144242345416821127414111529662619113211312753121224137
Hungary,2013,74433122015247405441161203518022135013476042143211054232114711034722822314129334283831611840111282412117391187142322582341937221812241516629312111121915011448312172932418131143111027964266618312714921019
Hungary,2014,185117176424265518299112163712294711122253741831791151122611215267856246245182663112151207151472269643028528920495633699102414311121436522511116371312322358411610641410625612352328842833353711817121563014
Hungary,2015,22162300215730177482117788112311251231383711311131144661563571723311956144613811839128108328471858156128277164834017132412364411113115821101211234626451763228111123515792344311844642191627731018133654310553659282561511891221024654423162122418605521520212719412313120135112316
Hungary,2016,10201869510228112139011337741213225212012139307161413513534413373128242621514916686854278846121711152124113511318181306363243183747455741111881824729256919220011951714224
Hungary,2017,*5315*119****81612*32**14***169108*8113***5**47***79**1689*10***6190
Hungary,2018,*81020**20515
Iceland,2001,1411111
Iceland,2002,351119311511
Iceland,2003,1171113115
Iceland,2004,121112161112151
Iceland,2005,11122122111143111
Iceland,2006,11212111
Iceland,2007,1211111
Iceland,2008,111111123111113111
Iceland,2009,111211111
Iceland,2010,1111111111
Iceland,2011,1111112141111314
Iceland,2012,211114122112211111111
Iceland,2013,110113195222182
Iceland,2014,10515515551555555
Iceland,2015,11171411113232121122111761751213111121121121
Iceland,2016,11213957241193133111119611511111191118231112149
Iceland,2017,****39***1410*12***26*512**18*64**85*******1811**95***6********7*****5
Iceland,2018,****6**7*9***95*7*7***9******5*********************18**25**5**
Ireland,1999,341213295032455132111712172212123141411356251137241111512141112231210531941496314242117721311241132181224629825556212181441211555623072111112883211921923124122116513124571541190315629121854136161
Ireland,2000,2510132833162013112924810211211151217117121113071839256437212233011531101141611162781213616194232861158410321640165120171119113288111341541135123123137233111714231114982522102131111112311313112328581051363703085423121275
Ireland,2001,1134910511963216132311111391716031261361291993241782621811843131322318284172611394917362252217195811011101112201418125648537132921241213729111315112191812014113403751314418383681221523630841127112431732739151130286421161019227137236111215367326
Ireland,2002,25120731282932512211011212708252252114131369132213691412118335117182022721368329411814241712710295614151272111540113419131837154233944817101143066823920137216211187312776114311925521431315161118142310981110153620289137223109191353186131121211
Ireland,2003,131015113112862121862610381215441115221717516141131106223422333311181313213172141129174016242272352149125331961132113131914121118181011241858631149117114146131231221151316312162211194416316120511818922111617242542302231851323212145
Ireland,2004,15181451153137211225173421974152335116170841181031551058561736242111121542313167173116106447122046221414732143183551223122221562674461131543415144711061121139121113666821251241219938262321111141246
Ireland,2005,10603312612428146710811311412357717312326122821343211412322115415921312931238721413837416133521124181513119322322211246685233142142312362246426351573113215112220111232311972
Ireland,2006,1042222193313224315112217818366251171821317141112121219953148514756241954221331514284212114080122136411416171121712319182293365136266514111622481981215937461143542231211302151531014134355
Ireland,2007,64512062125202361111162633212014335224102422214411315102113325152472825971044613120108311477130141126227056142112270883112314278434151211112671353218608432111111196582111621012611142511178292121
Ireland,2008,1225821521512617111167192871027225111211116182111921114523112133681116211012512321312325171152133212617144831173821211123227241292361913771134485101118412313921186651291892561912216
Ireland,2009,121132124315141221712410283371131132215345211962161431182211913122241512218371141322351211081066921811186912011231021341511113191614342262412634
Ireland,2010,233161712231311379131124344421568211112171522439211123111476522826454231112141032613518156313121111389122121111111521211282164413611723134
Ireland,2011,17153121131114515918111111221122114412322120314322171111111311312141111111265532412313211317123116141211115212
Ireland,2012,2241113321181111121211231521311213312161211122411226412215112171111331193121178733410411151211122511111111
Ireland,2013,235211111811212551111341711661152112231743191418215211111112511392111312101311131561161262
Ireland,2014,213231316253161122112212111712911911135112321102171524111110148631315122131342151211515121012311124
Ireland,2015,771136202114132091125231111163118111233174183128191519161131231121119313335911214311463521102411162319132525243111722652322211312261165
Ireland,2016,3512115117355321341841221133216110468102132122213110125137715782292314433122115212192425113127111285161151224215212121719153611166
Ireland,2017,*6*5**96*8**7*6*5**67*11*****2217**7*11**37**65********4011********69**20***19**13*8*8********47***5***9**6***21***1613271569**5*15**5*612*814**
Ireland,2018,***2037*****15212526198*****5*******27*1750*28*******625*13*16*****6**158*28****565**10*15*11***55***43*2112*66*
Italy,2008,34145326132318264427473914521655423822414138132266474131376232153234333452164524171223228711968878354212116111621243223367457211071122325681433111311732511881121882521311910111115219199371367091512434145833222126326597621964219122152449154722351342626141682356192276142818175162556355
Italy,2009,15105552555105520252555105702540355551020511510151510156601065553055305155510515510102306052055551030101510302402010155855102551515556051025108055115560101051055510105551555101010555205555402010355101555545557515105545155101351555510202051010
Italy,2010,13484101591524332121286421128112356411111851814553171263143142111474941381308321412932171516134635611155232111252111116533071322215561182412320813910514010112323197731131719615025631327838652122651911323121711952214146046211370355721062481982151311133710815
Italy,2011,127852273081801091016911512330613195135061522482831782471374141540344135925127120104312318198137185312219303511125853214224389183239111042423415119841451852120221212081814331322431308351131915293117771248301111121113385431157431710512120110541642125955961159166662141419115221069230372196223118293212636812143743191774114562171217339612103213191113644171421575532421799624121211861421592512
Italy,2012,6259137321149641113144334173949421401446237913774445116251932154421154171622282221379248922333221802711841825221109111413117541549134385623273182145262471104123627113184220951615511786541391312152925211343816141710931515424368441111519561358961613341710285153416986555139511132655145186133121315124246112211613151441615019230267111366102784113
Italy,2013,4128255228752314316461302157437218265252952111281117331013129937272071851114114532381252837292142517144133182632129310732923111706111018517061331381181632221933647461175611163381475222321119311292432158171312715535611712827526477721182432931161164153911421111754299317414143171153548707413113294311124736299112554763432618377833
Italy,2014,24313336337711910131146423318269146675115540556015249513132397421091680261356231113132893044371311520213111931892368313346076957648796172107913237630314650712137825209025917420233311032313988661341332761326138331613324192871284515732241321220521573121201323059147461161721026499841111738756458129055539241121133762455142144111212012214962342184135104511531215521414303216
Italy,2015,1291167214331915217673613534159115115124444281643715309423312219223452382122378111129141834117226205733472191319846213921423221492110519159048486431464744202406124826395673152411539842814673123556241473513196916812283129271191421513541611114194213730447311373914010222621343051121130939146255645491821719445193159423128913271309272411658004048145231739939201927442110482164585112101448127227431114355313453013
Italy,2016,221967318110115331243103819201225286112474382135781335352253554592246581666111932226687109315432147531758191314039080113331141491382512373748128475916179342755204163443274898201831554179966133122101412011537264016493970123184325241289922118173616111830316325113334213162416561277110011245253114171466123159441021191135252184873950130331319730567252372003883063061256443919319841258412861489148413076111016854112110184112163207112460510912163251782133424315844275
Italy,2017,824****615404181911025*11*21291074805***18259*45295575830160*515311591345*1662062554412441091087*519*20**2069*1809**68411359934929969105088*101*6366*9415158**687075155*4671388*1642935*2540*301306820631345*1751110436349*12170137746887*3513305153668*928**101350180101205*5863343323247080725521046312953079432520152035**88715121935***20115*15251173578****281721829*32*82410773**65282678108931138*10*842*511559*2560**10731521*695023549211725310*10*94*1025810412*2201085224214275*
