case,length_id,target_id,num_src_tables,src_numeric_total,src_categorical_total,src_numeric_avg,src_numeric_min,src_numeric_max,src_categorical_avg,src_categorical_min,src_categorical_max,tgt_numeric,tgt_categorical
length4_85,4,85,1,2,5,2.0,2,2,5.0,5,5,1,1
length4_86,4,86,5,5,35,1.0,1,1,7.0,7,7,1,7
length4_87,4,87,4,1543,0,385.75,352,413,0.0,0,0,520,0
length4_88,4,88,4,36,12,9.0,9,9,3.0,3,3,1,0
length4_89,4,89,4,36,12,9.0,9,9,3.0,3,3,0,1
length4_90,4,90,4,36,12,9.0,9,9,3.0,3,3,1,0
length4_91,4,91,4,36,12,9.0,9,9,3.0,3,3,0,1
length4_92,4,92,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,10,2
length4_93,4,93,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,10,2
length4_94,4,94,4,32,8,8.0,8,8,2.0,2,2,9,1
length4_95,4,95,4,32,8,8.0,8,8,2.0,2,2,9,1
length4_96,4,96,4,32,8,8.0,8,8,2.0,2,2,10,0
length4_97,4,97,1,7,5,7.0,7,7,5.0,5,5,9,5
length4_98,4,98,1,7,5,7.0,7,7,5.0,5,5,9,5
length4_99,4,99,1,7,5,7.0,7,7,5.0,5,5,9,5
length5_0,5,0,2,6,6,3.0,3,3,3.0,2,4,12,1
length5_1,5,1,5,30,0,6.0,6,6,0.0,0,0,0,6
length5_2,5,2,6,11,5,1.8333333333333333,1,2,0.8333333333333334,0,1,6,5
length5_3,5,3,6,7,11,1.1666666666666667,0,3,1.8333333333333333,1,4,8,2
length5_4,5,4,4,6,7,1.5,1,3,1.75,1,4,5,2
length5_5,5,5,6,24,6,4.0,4,4,1.0,1,1,19,6
length5_6,5,6,3,4,6,1.3333333333333333,1,2,2.0,2,2,4,1
length5_7,5,7,5,6,18,1.2,0,6,3.6,3,5,7,1
length5_8,5,8,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_9,5,9,5,0,25,0.0,0,0,5.0,5,5,4,1
length5_10,5,10,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_11,5,11,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_12,5,12,5,6,18,1.2,0,6,3.6,3,5,6,2
length5_13,5,13,5,6,18,1.2,0,6,3.6,3,5,6,1
length5_14,5,14,5,6,18,1.2,0,6,3.6,3,5,3,1
length5_15,5,15,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_16,5,16,5,25,10,5.0,5,5,2.0,2,2,8,0
length5_17,5,17,6,18,36,3.0,3,3,6.0,6,6,3,6
length5_18,5,18,5,6,18,1.2,0,6,3.6,3,5,6,1
length5_19,5,19,5,5,25,1.0,1,1,5.0,5,5,5,1
length5_20,5,20,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_21,5,21,5,6,18,1.2,0,6,3.6,3,5,5,2
length5_22,5,22,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_23,5,23,6,24,6,4.0,4,4,1.0,1,1,19,6
length5_24,5,24,2,6,6,3.0,3,3,3.0,2,4,4,1
length5_25,5,25,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_26,5,26,5,6,18,1.2,0,6,3.6,3,5,5,2
length5_27,5,27,6,24,6,4.0,4,4,1.0,1,1,19,6
length5_28,5,28,2,6,3,3.0,3,3,1.5,1,2,3,1
length5_29,5,29,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_30,5,30,2,6,6,3.0,3,3,3.0,2,4,4,1
length5_31,5,31,5,5,25,1.0,1,1,5.0,5,5,5,1
length5_32,5,32,6,24,6,4.0,4,4,1.0,1,1,19,6
length5_33,5,33,5,5,25,1.0,1,1,5.0,5,5,5,1
length5_34,5,34,6,210,84,35.0,35,35,14.0,14,14,35,14
length5_35,5,35,5,6,18,1.2,0,6,3.6,3,5,4,2
length5_36,5,36,1,17,1,17.0,17,17,1.0,1,1,0,1
length5_37,5,37,6,210,84,35.0,35,35,14.0,14,14,35,14
length5_38,5,38,5,15,5,3.0,3,3,1.0,1,1,3,1
length5_39,5,39,5,6,18,1.2,0,6,3.6,3,5,3,2
length5_40,5,40,5,6,18,1.2,0,6,3.6,3,5,3,2
length5_41,5,41,5,0,25,0.0,0,0,5.0,5,5,4,1
length5_42,5,42,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_43,5,43,5,6,18,1.2,0,6,3.6,3,5,5,1
length5_44,5,44,5,6,18,1.2,0,6,3.6,3,5,4,1
length5_45,5,45,1,4,3,4.0,4,4,3.0,3,3,14,1
length5_46,5,46,5,6,18,1.2,0,6,3.6,3,5,3,1
length5_47,5,47,5,45,10,9.0,9,9,2.0,2,2,11,0
length5_48,5,48,5,6,18,1.2,0,6,3.6,3,5,6,1
length5_49,5,49,5,25,10,5.0,5,5,2.0,2,2,6,1
length5_50,5,50,5,6,18,1.2,0,6,3.6,3,5,3,1
length5_51,5,51,5,6,18,1.2,0,6,3.6,3,5,3,1
length5_52,5,52,5,30,0,6.0,6,6,0.0,0,0,0,6
length5_53,5,53,1,4,3,4.0,4,4,3.0,3,3,10,0
length5_54,5,54,1,1,2,1.0,1,1,2.0,2,2,5,1
length5_55,5,55,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_56,5,56,5,45,10,9.0,9,9,2.0,2,2,10,1
length5_57,5,57,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_58,5,58,5,0,25,0.0,0,0,5.0,5,5,4,1
length5_59,5,59,1,4,3,4.0,4,4,3.0,3,3,3,0
length5_60,5,60,1,4,3,4.0,4,4,3.0,3,3,15,0
length5_61,5,61,5,30,0,6.0,6,6,0.0,0,0,0,6
length5_62,5,62,5,25,10,5.0,5,5,2.0,2,2,6,1
length5_63,5,63,5,6,18,1.2,0,6,3.6,3,5,5,1
length5_64,5,64,5,6,18,1.2,0,6,3.6,3,5,3,2
length5_65,5,65,5,6,18,1.2,0,6,3.6,3,5,5,2
length5_66,5,66,6,13,41,2.1666666666666665,2,3,6.833333333333333,6,7,2,7
length5_67,5,67,5,6,18,1.2,0,6,3.6,3,5,3,2
length5_68,5,68,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_69,5,69,5,6,18,1.2,0,6,3.6,3,5,4,1
length5_70,5,70,5,0,25,0.0,0,0,5.0,5,5,4,1
length5_71,5,71,5,6,18,1.2,0,6,3.6,3,5,6,2
length5_72,5,72,5,15,5,3.0,3,3,1.0,1,1,3,1
length5_73,5,73,6,28,12,4.666666666666667,2,10,2.0,0,5,23,10
length5_74,5,74,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_75,5,75,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_76,5,76,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_77,5,77,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_78,5,78,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_79,5,79,5,45,10,9.0,9,9,2.0,2,2,10,1
length5_80,5,80,1,4,3,4.0,4,4,3.0,3,3,13,1
length5_81,5,81,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_82,5,82,1,4,3,4.0,4,4,3.0,3,3,12,1
length5_83,5,83,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_84,5,84,1,4,3,4.0,4,4,3.0,3,3,15,0
length5_85,5,85,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_86,5,86,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_87,5,87,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_88,5,88,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_89,5,89,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_90,5,90,2,3,4,1.5,1,2,2.0,2,2,4,2
length5_91,5,91,5,15,5,3.0,3,3,1.0,1,1,4,0
length5_92,5,92,1,4,1,4.0,4,4,1.0,1,1,9,1
length5_93,5,93,5,0,25,0.0,0,0,5.0,5,5,4,1
length5_94,5,94,2,3,4,1.5,1,2,2.0,2,2,4,2
length5_95,5,95,2,6,6,3.0,3,3,3.0,2,4,1,1
length5_96,5,96,5,8,18,1.6,0,6,3.6,3,5,1,0
length5_97,5,97,5,15,5,3.0,3,3,1.0,1,1,3,1
length6_0,6,0,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_1,6,1,1,6,8,6.0,6,6,8.0,8,8,6,8
length6_2,6,2,1,7,7,7.0,7,7,7.0,7,7,7,7
length6_3,6,3,7,77,0,11.0,11,11,0.0,0,0,11,1
length6_4,6,4,1,7,8,7.0,7,7,8.0,8,8,7,8
length6_5,6,5,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_6,6,6,9,26,64,2.888888888888889,2,3,7.111111111111111,7,8,2,8
length6_7,6,7,7,14,0,2.0,2,2,0.0,0,0,8,0
length6_8,6,8,7,7,7,1.0,1,1,1.0,1,1,1,1
length6_9,6,9,8,9,10,1.125,0,3,1.25,1,3,11,1
length6_10,6,10,7,7,7,1.0,1,1,1.0,1,1,7,1
length6_11,6,11,7,7,7,1.0,1,1,1.0,1,1,1,1
length6_12,6,12,4,11,13,2.75,1,7,3.25,1,8,3,1
length6_13,6,13,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_14,6,14,1,3,5,3.0,3,3,5.0,5,5,15,1
length6_15,6,15,9,9,9,1.0,1,1,1.0,1,1,7,1
length6_16,6,16,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_17,6,17,7,26,28,3.7142857142857144,1,20,4.0,1,22,26,22
length6_18,6,18,9,9,9,1.0,1,1,1.0,1,1,9,1
length6_19,6,19,8,9,10,1.125,0,3,1.25,1,3,11,1
length6_20,6,20,4,12,4,3.0,3,3,1.0,1,1,3,1
length6_21,6,21,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_22,6,22,6,66,0,11.0,11,11,0.0,0,0,11,1
length6_23,6,23,7,0,63,0.0,0,0,9.0,9,9,0,18
length6_24,6,24,7,7,21,1.0,1,1,3.0,3,3,1,3
length6_25,6,25,7,77,21,11.0,11,11,3.0,3,3,11,3
length6_26,6,26,9,20,6,2.2222222222222223,1,5,0.6666666666666666,0,1,12,6
length6_27,6,27,9,9,9,1.0,1,1,1.0,1,1,7,1
length6_28,6,28,7,28,0,4.0,2,9,0.0,0,0,28,0
length6_29,6,29,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_30,6,30,8,16,24,2.0,2,2,3.0,3,3,2,3
length6_31,6,31,7,9,7,1.2857142857142858,1,3,1.0,1,1,9,1
length6_32,6,32,8,16,24,2.0,2,2,3.0,3,3,2,3
length6_33,6,33,7,14,25,2.0,2,2,3.5714285714285716,3,4,2,5
length6_34,6,34,7,30,12,4.285714285714286,2,10,1.7142857142857142,0,5,24,12
length6_35,6,35,8,7,13,0.875,0,1,1.625,1,4,11,2
length6_36,6,36,8,16,0,2.0,2,2,0.0,0,0,9,0
length6_37,6,37,2,9,7,4.5,0,9,3.5,3,4,63,24
length6_38,6,38,7,60,73,8.571428571428571,8,9,10.428571428571429,10,11,60,67
length6_39,6,39,8,28,29,3.5,1,20,3.625,1,22,28,22
length6_40,6,40,7,162,15,23.142857142857142,0,27,2.142857142857143,1,9,3,1
length6_41,6,41,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_42,6,42,7,28,0,4.0,2,9,0.0,0,0,28,0
length6_43,6,43,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_44,6,44,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_45,6,45,7,7,7,1.0,1,1,1.0,1,1,1,1
length6_46,6,46,9,9,9,1.0,1,1,1.0,1,1,7,1
length6_47,6,47,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_48,6,48,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_49,6,49,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_50,6,50,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_51,6,51,7,9,7,1.2857142857142858,1,3,1.0,1,1,9,1
length6_52,6,52,8,8,8,1.0,1,1,1.0,1,1,8,1
length6_53,6,53,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_54,6,54,7,162,15,23.142857142857142,0,27,2.142857142857143,1,9,27,10
length6_55,6,55,3,14,1,4.666666666666667,4,6,0.3333333333333333,0,1,21,0
length6_56,6,56,7,7,21,1.0,1,1,3.0,3,3,1,3
length6_57,6,57,9,29,30,3.2222222222222223,1,20,3.3333333333333335,1,22,29,22
length6_58,6,58,8,36,0,4.5,2,10,0.0,0,0,29,0
length6_60,6,60,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_61,6,61,8,7,65,0.875,0,7,8.125,2,9,7,11
length6_62,6,62,9,0,36,0.0,0,0,4.0,4,4,0,4
length6_63,6,63,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_64,6,64,7,77,21,11.0,11,11,3.0,3,3,13,1
length6_65,6,65,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_66,6,66,7,7,7,1.0,1,1,1.0,1,1,1,1
length6_67,6,67,7,7,7,1.0,1,1,1.0,1,1,1,1
length6_68,6,68,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_69,6,69,7,42,77,6.0,6,6,11.0,11,11,6,11
length6_70,6,70,3,14,1,4.666666666666667,4,6,0.3333333333333333,0,1,20,0
length6_71,6,71,8,9,10,1.125,0,3,1.25,1,3,11,1
length6_72,6,72,7,30,12,4.285714285714286,2,10,1.7142857142857142,0,5,24,12
length6_73,6,73,7,28,7,4.0,4,4,1.0,1,1,22,7
length6_74,6,74,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_75,6,75,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_76,6,76,8,16,24,2.0,2,2,3.0,3,3,2,3
length6_77,6,77,8,69,83,8.625,8,9,10.375,10,11,69,76
length6_78,6,78,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_79,6,79,7,42,77,6.0,6,6,11.0,11,11,6,11
length6_80,6,80,3,14,1,4.666666666666667,4,6,0.3333333333333333,0,1,20,0
length6_81,6,81,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_82,6,82,8,16,24,2.0,2,2,3.0,3,3,2,3
length6_83,6,83,4,11,13,2.75,1,7,3.25,1,8,3,1
length6_84,6,84,7,21,7,3.0,3,3,1.0,1,1,3,1
length6_85,6,85,7,30,12,4.285714285714286,2,10,1.7142857142857142,0,5,24,12
length6_86,6,86,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_87,6,87,8,69,83,8.625,8,9,10.375,10,11,69,76
length6_88,6,88,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_89,6,89,7,7,7,1.0,1,1,1.0,1,1,1,1
length6_90,6,90,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_91,6,91,1,4,5,4.0,4,4,5.0,5,5,17,1
length6_92,6,92,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_93,6,93,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_94,6,94,8,56,72,7.0,7,7,9.0,9,9,7,9
length6_95,6,95,7,9,7,1.2857142857142858,1,3,1.0,1,1,9,1
length6_96,6,96,8,15,6,1.875,1,2,0.75,0,1,8,6
length6_97,6,97,6,20,46,3.3333333333333335,0,4,7.666666666666667,7,11,5,7
length6_98,6,98,7,14,0,2.0,2,2,0.0,0,0,8,0
length6_99,6,99,7,22,10,3.142857142857143,2,5,1.4285714285714286,1,2,22,4
length9_0,9,0,11,11,0,1.0,1,1,0.0,0,0,1,0
length9_1,9,1,11,38,182,3.4545454545454546,2,6,16.545454545454547,14,18,2,1
length9_2,9,2,11,11,0,1.0,1,1,0.0,0,0,1,0
length9_3,9,3,11,38,182,3.4545454545454546,2,6,16.545454545454547,14,18,2,1
length9_4,9,4,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_5,9,5,11,11,11,1.0,1,1,1.0,1,1,1,1
length9_6,9,6,17,17,17,1.0,1,1,1.0,1,1,1,1
length9_7,9,7,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_8,9,8,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_9,9,9,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_10,9,10,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_11,9,11,10,10,10,1.0,1,1,1.0,1,1,10,1
length9_12,9,12,11,11,11,1.0,1,1,1.0,1,1,11,1
length9_13,9,13,10,86,104,8.6,8,9,10.4,10,11,86,95
length9_14,9,14,10,20,0,2.0,2,2,0.0,0,0,11,0
length9_15,9,15,6,36,36,6.0,6,6,6.0,6,6,6,6
length9_16,9,16,9,0,36,0.0,0,0,4.0,4,4,0,4
length9_17,9,17,12,120,60,10.0,10,10,5.0,5,5,10,5
length9_18,9,18,10,24,6,2.4,1,5,0.6,0,1,15,6
length9_19,9,19,9,10,14,1.1111111111111112,0,3,1.5555555555555556,1,4,11,2
length9_20,9,20,10,30,31,3.0,1,20,3.1,1,22,30,22
length9_21,9,21,11,31,32,2.8181818181818183,1,20,2.909090909090909,1,22,31,22
length9_22,9,22,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_23,9,23,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_24,9,24,10,37,19,3.7,2,7,1.9,0,5,12,5
length9_25,9,25,10,37,19,3.7,2,7,1.9,0,5,0,1
length9_26,9,26,10,37,19,3.7,2,7,1.9,0,5,0,1
length9_27,9,27,10,37,19,3.7,2,7,1.9,0,5,12,5
length9_28,9,28,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_29,9,29,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_30,9,30,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_31,9,31,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_32,9,32,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_33,9,33,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_34,9,34,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_35,9,35,10,37,19,3.7,2,7,1.9,0,5,1,0
length9_36,9,36,135,135,270,1.0,1,1,2.0,2,2,1,2
length9_37,9,37,11,11,0,1.0,1,1,0.0,0,0,1,0
length9_38,9,38,11,38,182,3.4545454545454546,2,6,16.545454545454547,14,18,2,1
length9_39,9,39,11,11,0,1.0,1,1,0.0,0,0,1,0
length9_40,9,40,11,38,182,3.4545454545454546,2,6,16.545454545454547,14,18,2,1
length9_41,9,41,222,222,888,1.0,1,1,4.0,4,4,1,4
length9_42,9,42,222,444,1110,2.0,2,2,5.0,5,5,2,5
length9_43,9,43,222,888,1776,4.0,4,4,8.0,8,8,4,8
length9_44,9,44,222,888,1776,4.0,4,4,8.0,8,8,4,8
length9_45,9,45,222,888,1776,4.0,4,4,8.0,8,8,4,8
length9_46,9,46,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_47,9,47,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_48,9,48,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_49,9,49,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_50,9,50,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_51,9,51,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_52,9,52,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_53,9,53,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_54,9,54,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_55,9,55,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_56,9,56,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_57,9,57,15,15,0,1.0,1,1,0.0,0,0,1,0
length9_58,9,58,11,11,11,1.0,1,1,1.0,1,1,1,1
length9_59,9,59,17,17,17,1.0,1,1,1.0,1,1,1,1
length9_60,9,60,10,10,10,1.0,1,1,1.0,1,1,1,1
length9_61,9,61,10,10,10,1.0,1,1,1.0,1,1,1,1
length9_62,9,62,135,135,270,1.0,1,1,2.0,2,2,1,2
length9_63,9,63,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_64,9,64,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_65,9,65,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_66,9,66,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_67,9,67,10,37,19,3.7,2,7,1.9,0,5,12,5
length9_68,9,68,10,37,19,3.7,2,7,1.9,0,5,12,5
length9_69,9,69,10,37,19,3.7,2,7,1.9,0,5,12,5
length9_70,9,70,10,20,96,2.0,1,3,9.6,5,11,7,119
length9_71,9,71,10,20,96,2.0,1,3,9.6,5,11,7,119
length9_72,9,72,10,20,96,2.0,1,3,9.6,5,11,7,119
length9_73,9,73,10,20,96,2.0,1,3,9.6,5,11,1,1
length9_74,9,74,10,20,96,2.0,1,3,9.6,5,11,7,119
length9_75,9,75,39,156,117,4.0,4,4,3.0,3,3,4,3
length9_76,9,76,39,156,117,4.0,4,4,3.0,3,3,1,1
length9_77,9,77,39,156,117,4.0,4,4,3.0,3,3,4,3
length9_78,9,78,57,571,512,10.017543859649123,10,11,8.982456140350877,8,9,10,9
length9_79,9,79,57,571,512,10.017543859649123,10,11,8.982456140350877,8,9,10,9
length9_80,9,80,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_81,9,81,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_82,9,82,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_83,9,83,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_84,9,84,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_85,9,85,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_86,9,86,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_87,9,87,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_88,9,88,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_89,9,89,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_90,9,90,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_91,9,91,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_92,9,92,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_93,9,93,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_94,9,94,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_95,9,95,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_96,9,96,10,720,0,72.0,72,72,0.0,0,0,72,0
length9_97,9,97,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_98,9,98,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_99,9,99,10,40,0,4.0,4,4,0.0,0,0,4,0
length9_100,9,100,10,40,0,4.0,4,4,0.0,0,0,4,0
