Split,SubjectId,Subject,PA,AB,H,TB,BB,SF,HBP
vs LHP,520471,520471,7,7,3,3,0,0,0
vs RHP,520471,520471,52,49,12,17,2,0,1
vs LHP,521692,521692,16,15,4,7,1,0,0
vs RHP,521692,521692,32,31,6,11,1,0,0
vs LHP,523253,523253,16,16,1,1,0,0,0
vs RHP,523253,523253,55,50,10,17,4,0,1
vs LHP,527043,527043,18,16,3,4,1,0,1
vs RHP,527043,527043,31,26,7,19,5,0,0
vs RHP,527054,527054,6,5,2,2,0,0,0
vs LHP,534627,534627,6,4,0,0,1,0,1
vs RHP,534627,534627,4,3,1,1,1,0,0
vs LHP,534947,534947,2,2,1,1,0,0,0
vs RHP,534947,534947,6,4,0,0,0,0,0
vs LHP,537953,537953,2,1,0,0,1,0,0
vs RHP,537953,537953,7,7,0,0,0,0,0
vs LHP,541608,541608,10,10,0,0,0,0,0
vs RHP,541608,541608,18,17,6,13,0,0,1
vs LHP,541645,541645,12,11,1,2,1,0,0
vs RHP,541645,541645,33,29,6,12,4,0,0
vs LHP,541650,541650,18,18,7,8,0,0,0
vs RHP,541650,541650,45,42,9,11,2,0,1
vs LHP,542208,542208,10,8,1,2,2,0,0
vs RHP,542208,542208,19,18,3,5,1,0,0
vs LHP,542255,542255,21,18,8,10,2,0,0
vs RHP,542255,542255,45,39,10,12,5,0,0
vs LHP,542303,542303,5,5,1,1,0,0,0
vs RHP,542303,542303,50,44,10,12,5,1,0
vs LHP,542340,542340,20,17,4,13,1,1,0
vs RHP,542340,542340,47,37,9,13,10,0,0
vs LHP,542364,542364,4,4,1,1,0,0,0
vs RHP,542364,542364,40,32,11,14,6,0,0
vs LHP,542436,542436,11,10,3,4,1,0,0
vs LHH,108,108,175,161,36,58,12,1,1
vs RHH,108,108,445,393,107,155,42,5,5
vs LHH,109,109,298,262,60,95,33,1,1
vs RHH,109,109,325,290,65,115,25,4,4
vs LHH,110,110,228,202,45,75,19,1,3
vs RHH,110,110,404,367,87,130,28,2,5
vs LHH,111,111,250,218,49,71,23,1,4
vs RHH,111,111,385,348,86,140,30,4,2
vs LHH,112,112,180,162,38,64,13,0,5
vs RHH,112,112,433,391,90,148,34,2,3
vs LHH,113,113,269,227,64,107,41,0,1
vs RHH,113,113,398,356,93,160,32,3,6
vs LHH,114,114,208,198,45,64,6,1,2
vs RHH,114,114,362,324,84,150,31,0,5
vs LHH,115,115,334,284,75,123,33,4,8
vs RHH,115,115,300,266,79,137,23,2,7
vs LHH,116,116,290,255,53,90,26,2,2
vs RHH,116,116,291,262,74,115,23,4,0
vs LHH,117,117,312,275,71,113,33,1,2
vs RHH,117,117,298,267,57,89,28,2,1
vs LHH,118,118,301,262,75,128,29,3,6
vs RHH,118,118,384,339,94,154,38,3,1
vs LHH,119,119,240,213,60,83,19,2,2
vs RHH,119,119,398,361,88,149,30,3,1
vs LHH,120,120,208,182,50,82,21,2,0
vs RHH,120,120,390,352,88,139,31,2,4
vs LHH,121,121,334,296,80,111,33,0,2
vs RHH,121,121,296,270,62,98,18,4,0
vs LHH,133,133,257,240,63,99,16,0,1
vs RHH,133,133,366,340,80,145,20,1,3
vs LHH,134,134,240,202,67,115,30,7,0
vs RHH,134,134,451,414,100,156,24,2,6
vs LHH,135,135,212,190,47,75,21,0,0
vs RHH,135,135,384,351,88,151,27,2,2
vs LHH,136,136,183,161,35,56,17,0,2
vs RHH,136,136,419,391,96,166,28,0,0
vs LHH,137,137,255,238,57,79,14,1,1
vs RHH,137,137,337,310,71,105,19,2,3
vs LHH,138,138,339,305,81,120,32,1,1
vs RHH,138,138,315,288,86,128,17,5,2
vs LHH,139,139,297,266,67,104,23,5,3
vs RHH,139,139,351,319,88,149,29,1,1
vs LHH,140,140,155,138,28,40,14,2,1
vs RHH,140,140,418,379,100,162,35,1,2
vs LHH,141,141,282,249,53,79,27,1,2
vs RHH,141,141,349,316,67,94,27,4,2
vs LHH,142,142,260,227,48,76,28,1,2
vs RHH,142,142,352,318,85,138,26,2,5
vs LHH,143,143,341,301,88,152,37,1,2
vs RHH,143,143,306,269,70,115,21,2,10
vs LHH,144,144,243,206,45,69,28,1,5
vs RHH,144,144,311,285,73,122,18,2,3
vs LHH,145,145,248,218,56,82,20,3,6
vs RHH,145,145,384,345,85,142,25,3,10
vs LHH,146,146,302,258,73,113,39,2,2
vs RHH,146,146,288,261,64,107,22,2,0
vs LHH,147,147,227,196,47,79,28,2,1
vs RHH,147,147,405,355,93,164,42,1,4
vs LHH,158,158,286,259,71,100,25,0,1
vs RHH,158,158,320,293,81,128,19,1,3
vs LHH,112526,112526,48,45,13,22,2,0,0
vs RHH,112526,112526,37,37,9,13,0,0,0
vs LHH,150274,150274,3,3,0,0,0,0,0
vs RHH,150274,150274,2,2,0,0,0,0,0
vs LHH,276351,276351,16,13,4,11,3,0,0
vs RHH,276351,276351,16,14,6,13,2,0,0
vs LHH,276542,276542,11,10,3,4,1,0,0
vs RHH,276542,276542,8,8,1,1,0,0,0
vs LHH,279571,279571,3,3,1,1,0,0,0
vs RHH,279571,279571,8,8,1,2,0,0,0
vs LHH,282332,282332,18,17,3,3,1,0,0
vs RHH,282332,282332,60,53,13,21,7,0,0
vs LHH,285064,285064,36,27,9,18,9,0,0
vs RHH,285064,285064,50,44,8,9,3,0,1
vs LHH,285079,285079,9,7,1,1,0,1,0
vs RHH,285079,285079,17,16,6,7,1,0,0
vs LHH,407793,407793,23,21,6,10,2,0,0
vs RHH,407793,407793,55,50,13,21,4,0,0
vs LHH,407822,407822,9,8,2,5,1,0,0
vs RHH,407822,407822,17,12,5,10,2,0,2
vs LHH,407845,407845,13,9,2,2,2,1,0
vs RHH,407845,407845,14,13,4,5,1,0,0
vs LHH,407890,407890,27,23,6,10,3,0,1
vs RHH,407890,407890,36,32,9,17,4,0,0
vs LHH,408061,408061,9,9,2,5,0,0,0
vs RHH,408061,408061,8,7,2,3,1,0,0
vs LHH,408241,408241,2,2,1,2,0,0,0
vs RHH,408241,408241,3,2,0,0,1,0,0
vs LHH,424144,424144,8,7,2,2,1,0,0
vs RHH,424144,424144,3,3,0,0,0,0,0
vs LHH,425492,425492,16,15,6,7,1,0,0
vs RHH,425492,425492,12,8,3,3,3,0,1
vs LHH,425532,425532,3,3,0,0,0,0,0
vs RHH,425532,425532,5,5,2,2,0,0,0
vs LHH,425657,425657,6,5,1,1,0,0,1
vs RHH,425657,425657,1,1,1,1,0,0,0
vs LHH,425794,425794,58,50,17,34,8,0,0
vs RHH,425794,425794,49,44,15,20,2,2,0
vs LHH,425844,425844,34,28,3,4,6,0,0
vs RHH,425844,425844,15,13,3,8,2,0,0
vs LHH,429719,429719,36,29,6,10,7,0,0
vs RHH,429719,429719,40,37,14,32,2,0,0
vs LHH,429722,429722,42,36,7,10,4,1,1
vs RHH,429722,429722,32,29,6,8,3,0,0
vs LHH,430599,430599,11,11,5,5,0,0,0
vs RHH,430599,430599,15,12,2,2,3,0,0
vs LHH,430634,430634,5,5,1,4,0,0,0
vs RHH,430634,430634,6,5,1,2,1,0,0
vs LHH,430641,430641,8,7,2,5,1,0,0
vs RHH,430641,430641,9,9,3,3,0,0,0
vs LHH,430661,430661,12,11,5,8,1,0,0
vs RHH,430661,430661,16,15,2,2,1,0,0
vs LHH,430912,430912,1,1,0,0,0,0,0
vs RHH,430912,430912,10,9,4,5,0,1,0
vs LHH,430935,430935,9,7,1,1,2,0,0
vs RHH,430935,430935,72,68,20,34,3,1,0
vs LHH,431148,431148,2,2,2,2,0,0,0
vs RHH,431148,431148,2,2,0,0,0,0,0
vs LHH,432934,432934,11,9,2,5,2,0,0
vs RHH,432934,432934,10,10,3,3,0,0,0
vs LHH,433586,433586,2,2,0,0,0,0,0
vs RHH,433586,433586,10,9,1,1,1,0,0
vs LHH,433587,433587,28,23,6,13,3,0,1
vs RHH,433587,433587,64,59,19,27,5,0,0
vs LHH,433589,433589,3,2,0,0,1,0,0
vs RHH,433589,433589,12,11,6,11,1,0,0
vs LHH,434378,434378,65,55,5,8,7,1,1
vs RHH,434378,434378,39,38,10,13,1,0,0
vs LHH,434442,434442,8,7,1,2,0,0,1
vs RHH,434442,434442,5,5,3,3,0,0,0
vs LHH,434538,434538,15,14,3,3,1,0,0
vs RHH,434538,434538,60,56,12,16,4,0,0
vs LHH,434622,434622,26,23,4,5,2,0,0
vs RHH,434622,434622,48,42,8,14,5,0,0
vs LHH,434628,434628,18,15,2,4,2,0,1
vs RHH,434628,434628,23,23,8,15,0,0,0
vs LHH,434671,434671,13,13,3,7,0,0,0
vs RHH,434671,434671,14,13,3,9,1,0,0
vs LHH,434672,434672,6,3,0,0,3,0,0
vs RHH,434672,434672,15,13,1,2,2,0,0
vs LHH,435043,435043,13,12,2,3,1,0,0
vs RHH,435043,435043,13,11,3,3,2,0,0
vs LHH,435221,435221,17,14,4,5,1,1,0
vs RHH,435221,435221,9,8,5,7,1,0,0
vs LHH,435400,435400,6,5,1,1,1,0,0
vs RHH,435400,435400,6,4,2,3,1,1,0
vs LHH,444468,444468,11,10,5,10,0,0,1
vs RHH,444468,444468,15,13,6,11,2,0,0
vs LHH,444857,444857,3,2,0,0,1,0,0
vs RHH,444857,444857,1,1,0,0,0,0,0
vs LHH,445060,445060,25,22,4,4,3,0,0
vs RHH,445060,445060,52,49,11,13,2,0,1
vs LHH,445197,445197,15,15,6,9,0,0,0
vs RHH,445197,445197,10,10,4,8,0,0,0
vs LHH,445213,445213,14,14,5,8,0,0,0
vs RHH,445213,445213,12,10,4,4,1,0,1
vs LHH,445276,445276,10,8,1,4,2,0,0
vs RHH,445276,445276,13,12,2,4,0,1,0
vs LHH,445926,445926,6,6,2,2,0,0,0
vs RHH,445926,445926,8,8,4,7,0,0,0
vs LHH,445968,445968,7,4,1,1,3,0,0
vs RHH,445968,445968,8,7,4,6,1,0,0
vs LHH,446099,446099,9,9,1,2,0,0,0
vs RHH,446099,446099,14,12,2,2,1,0,1
vs LHH,446321,446321,5,5,1,4,0,0,0
vs RHH,446321,446321,35,32,12,17,3,0,0
vs LHH,446372,446372,27,25,8,9,1,0,1
vs RHH,446372,446372,47,41,8,18,5,0,1
vs LHH,446399,446399,9,8,1,4,0,0,1
vs RHH,446399,446399,9,9,1,1,0,0,0
vs LHH,446899,446899,6,5,0,0,1,0,0
vs RHH,446899,446899,23,21,6,7,2,0,0
vs LHH,448178,448178,1,1,0,0,0,0,0
vs RHH,448178,448178,2,1,0,0,1,0,0
vs LHH,448179,448179,9,7,6,7,2,0,0
vs RHH,448179,448179,54,51,10,17,1,1,0
vs LHH,448281,448281,13,13,6,9,0,0,0
vs RHH,448281,448281,12,11,2,5,0,0,0
vs LHH,448306,448306,62,54,15,23,5,1,1
vs RHH,448306,448306,47,40,8,14,6,0,1
vs LHH,448609,448609,12,12,1,1,0,0,0
vs RHH,448609,448609,8,6,2,3,2,0,0
vs LHH,448614,448614,22,20,4,4,1,0,1
vs RHH,448614,448614,19,18,5,6,1,0,0
vs LHH,448802,448802,13,12,1,4,1,0,0
vs RHH,448802,448802,15,14,5,11,1,0,0
vs LHH,449104,449104,7,7,1,2,0,0,0
vs RHH,449104,449104,12,11,3,3,1,0,0
vs LHH,450172,450172,58,46,13,23,10,1,1
vs RHH,450172,450172,33,28,9,16,5,0,0
vs LHH,450212,450212,9,7,2,5,2,0,0
vs RHH,450212,450212,10,9,3,4,1,0,0
vs LHH,450275,450275,12,10,2,4,1,1,0
vs RHH,450275,450275,6,5,1,1,1,0,0
vs LHH,450306,450306,6,6,2,6,0,0,0
vs RHH,450306,450306,41,38,6,8,3,0,0
vs LHH,450308,450308,24,23,7,12,1,0,0
vs RHH,450308,450308,44,39,7,10,5,0,0
vs LHH,450729,450729,31,26,12,24,4,0,1
vs RHH,450729,450729,20,20,6,8,0,0,0
vs LHH,451584,451584,11,11,2,2,0,0,0
vs RHH,451584,451584,12,12,3,5,0,0,0
vs LHH,451596,451596,28,22,4,6,4,1,0
vs RHH,451596,451596,40,36,11,19,4,0,0
vs LHH,451661,451661,8,8,1,1,0,0,0
vs RHH,451661,451661,20,17,4,8,3,0,0
vs LHH,452027,452027,2,2,0,0,0,0,0
vs RHH,452027,452027,3,2,1,1,1,0,0
vs LHH,452061,452061,8,8,4,7,0,0,0
vs RHH,452061,452061,19,18,4,7,1,0,0
vs LHH,452657,452657,15,15,3,4,0,0,0
vs RHH,452657,452657,62,54,12,20,4,1,2
vs LHH,452666,452666,6,6,1,1,0,0,0
vs RHH,452666,452666,8,6,3,5,2,0,0
vs LHH,453172,453172,6,6,3,4,0,0,0
vs RHH,453172,453172,20,16,1,1,3,0,1
vs LHH,453178,453178,67,58,17,29,6,1,2
vs RHH,453178,453178,38,33,7,10,4,1,0
vs LHH,453192,453192,3,3,0,0,0,0,0
vs RHH,453192,453192,29,28,3,5,1,0,0
vs LHH,453249,453249,4,3,1,2,1,0,0
vs RHH,453249,453249,16,14,2,3,2,0,0
vs LHH,453265,453265,2,2,0,0,0,0,0
vs RHH,453265,453265,20,20,4,9,0,0,0
vs LHH,453281,453281,12,10,2,2,0,2,0
vs RHH,453281,453281,25,23,3,5,2,0,0
vs LHH,453284,453284,4,3,1,1,1,0,0
vs RHH,453284,453284,14,10,5,6,3,0,1
vs LHH,453286,453286,44,37,13,26,5,0,0
vs RHH,453286,453286,63,59,13,22,3,1,0
vs LHH,453329,453329,48,41,7,9,5,0,1
vs RHH,453329,453329,25,23,4,5,1,1,0
vs LHH,453343,453343,7,7,1,1,0,0,0
vs RHH,453343,453343,19,19,2,3,0,0,0
vs LHH,453344,453344,3,2,0,0,1,0,0
vs RHH,453344,453344,15,14,4,6,0,0,0
vs LHH,453385,453385,5,4,0,0,1,0,0
vs RHH,453385,453385,69,60,17,23,8,1,0
vs LHH,453562,453562,27,21,9,14,5,0,1
vs RHH,453562,453562,49,46,10,15,2,0,0
vs LHH,453646,453646,4,4,0,0,0,0,0
vs RHH,453646,453646,3,2,0,0,1,0,0
vs LHH,455009,455009,12,12,2,5,0,0,0
vs RHH,455009,455009,10,9,3,6,0,0,1
vs LHH,455374,455374,6,5,2,5,1,0,0
vs RHH,455374,455374,24,21,5,9,3,0,0
vs LHH,456027,456027,14,10,2,2,4,0,0
vs RHH,456027,456027,11,10,3,7,1,0,0
vs LHH,456034,456034,26,24,9,14,0,0,0
vs RHH,456034,456034,79,73,22,41,6,0,0
vs LHH,456068,456068,42,39,9,13,0,2,1
vs RHH,456068,456068,36,35,8,12,0,0,1
vs LHH,456167,456167,9,7,1,2,2,0,0
vs RHH,456167,456167,25,20,9,16,4,0,1
vs LHH,456501,456501,54,50,13,18,4,0,0
vs RHH,456501,456501,33,33,9,12,0,0,0
vs LHH,456696,456696,18,17,6,10,1,0,0
vs RHH,456696,456696,16,14,3,4,1,0,1
vs LHH,456713,456713,7,7,1,1,0,0,0
vs RHH,456713,456713,19,19,3,4,0,0,0
vs LHH,457429,457429,11,6,1,1,3,0,1
vs RHH,457429,457429,9,8,3,10,1,0,0
vs LHH,457435,457435,6,5,2,3,1,0,0
vs RHH,457435,457435,10,8,1,1,2,0,0
vs LHH,457732,457732,6,5,1,1,0,0,1
vs RHH,457732,457732,23,21,8,13,1,1,0
vs LHH,457918,457918,27,25,7,10,2,0,0
vs RHH,457918,457918,77,68,12,15,8,0,1
vs LHH,458006,458006,6,6,3,5,0,0,0
vs RHH,458006,458006,4,4,1,2,0,0,0
vs LHH,458677,458677,7,6,2,2,1,0,0
vs RHH,458677,458677,19,15,2,5,4,0,0
vs LHH,458708,458708,35,33,6,9,0,1,0
vs RHH,458708,458708,42,42,10,15,0,0,0
vs LHH,459429,459429,5,3,2,2,2,0,0
vs RHH,459429,459429,3,3,1,1,0,0,0
vs LHH,460059,460059,11,10,5,9,0,0,0
vs RHH,460059,460059,8,8,3,3,0,0,0
vs LHH,460283,460283,9,7,2,3,1,0,1
vs RHH,460283,460283,8,7,1,4,1,0,0
vs LHH,461325,461325,10,10,2,3,0,0,0
vs RHH,461325,461325,22,18,7,15,4,0,0
vs LHH,461829,461829,14,13,7,8,1,0,0
vs RHH,461829,461829,53,46,15,18,5,0,2
vs LHH,461872,461872,3,2,0,0,1,0,0
vs RHH,461872,461872,4,4,0,0,0,0,0
vs LHH,462136,462136,53,48,7,11,5,0,0
vs RHH,462136,462136,21,19,2,3,2,0,0
vs LHH,462382,462382,19,19,4,5,0,0,0
vs RHH,462382,462382,16,14,5,6,2,0,0
vs LHH,462515,462515,12,11,0,0,1,0,0
vs RHH,462515,462515,8,7,0,0,1,0,0
vs LHH,465657,465657,9,9,2,2,0,0,0
vs RHH,465657,465657,10,10,4,9,0,0,0
vs LHH,467008,467008,8,8,1,3,0,0,0
vs RHH,467008,467008,6,3,0,0,2,0,1
vs LHH,467100,467100,19,17,10,13,0,2,0
vs RHH,467100,467100,43,37,12,14,0,2,2
vs LHH,468504,468504,25,24,2,5,1,0,0
vs RHH,468504,468504,46,41,12,13,4,1,0
vs LHH,471822,471822,7,6,2,4,1,0,0
vs RHH,471822,471822,24,23,4,5,1,0,0
vs RHH,471911,471911,1,1,1,1,0,0,0
vs LHH,472551,472551,3,2,1,1,0,0,1
vs RHH,472551,472551,2,1,1,4,1,0,0
vs LHH,472610,472610,13,11,3,4,2,0,0
vs RHH,472610,472610,8,7,3,7,1,0,0
vs LHH,473879,473879,10,8,1,1,2,0,0
vs RHH,473879,473879,14,13,3,3,1,0,0
vs LHH,474284,474284,2,1,0,0,1,0,0
vs RHH,474284,474284,17,16,8,12,1,0,0
vs LHH,474463,474463,13,12,6,6,0,1,0
vs RHH,474463,474463,22,20,5,10,1,0,0
vs LHH,474699,474699,10,8,1,1,2,0,0
vs RHH,474699,474699,5,3,0,0,2,0,0
vs LHH,475054,475054,5,3,0,0,1,0,1
vs RHH,475054,475054,12,12,2,3,0,0,0
vs LHH,475243,475243,6,6,0,0,0,0,0
vs RHH,475243,475243,8,7,0,0,1,0,0
vs LHH,475479,475479,16,13,2,2,3,0,0
vs RHH,475479,475479,12,10,1,1,2,0,0
vs LHH,476123,476123,15,13,5,5,2,0,0
vs RHH,476123,476123,13,11,2,6,2,0,0
vs LHH,476451,476451,40,38,7,10,2,0,0
vs RHH,476451,476451,24,21,4,5,1,0,2
vs LHH,476454,476454,6,5,2,2,1,0,0
vs RHH,476454,476454,15,11,3,6,4,0,0
vs LHH,476589,476589,15,13,4,10,2,0,0
vs RHH,476589,476589,24,22,6,8,1,0,0
vs LHH,477132,477132,24,24,2,2,0,0,0
vs RHH,477132,477132,48,45,10,14,2,1,0
vs LHH,477569,477569,20,20,4,8,0,0,0
vs RHH,477569,477569,14,14,2,5,0,0,0
vs LHH,488748,488748,1,1,0,0,0,0,0
vs RHH,488748,488748,7,6,1,1,1,0,0
vs LHH,488768,488768,30,25,8,15,5,0,0
vs RHH,488768,488768,29,26,7,13,3,0,0
vs LHH,488786,488786,6,3,1,1,3,0,0
vs RHH,488786,488786,19,15,5,14,4,0,0
vs LHH,488846,488846,8,8,0,0,0,0,0
vs RHH,488846,488846,6,6,0,0,0,0,0
vs LHH,488984,488984,9,9,3,4,0,0,0
vs RHH,488984,488984,18,17,6,6,1,0,0
vs LHH,489119,489119,10,8,0,0,1,0,1
vs RHH,489119,489119,64,63,17,24,1,0,0
vs LHH,489265,489265,12,12,4,5,0,0,0
vs RHH,489265,489265,11,11,1,1,0,0,0
vs LHH,489294,489294,3,3,0,0,0,0,0
vs RHH,489294,489294,19,17,4,7,2,0,0
vs LHH,489446,489446,2,1,0,0,1,0,0
vs RHH,489446,489446,14,11,3,4,3,0,0
vs LHH,490063,490063,21,19,5,6,2,0,0
vs RHH,490063,490063,24,23,9,13,1,0,0
vs LHH,491646,491646,13,11,7,13,2,0,0
vs RHH,491646,491646,7,5,2,3,1,0,1
vs LHH,491708,491708,5,5,0,0,0,0,0
vs RHH,491708,491708,9,6,0,0,3,0,0
vs LHH,493157,493157,13,12,1,2,1,0,0
vs RHH,493157,493157,13,11,2,3,1,0,1
vs LHH,493200,493200,14,14,4,5,0,0,0
vs RHH,493200,493200,16,16,4,7,0,0,0
vs LHH,493247,493247,8,7,2,5,1,0,0
vs RHH,493247,493247,19,17,2,3,1,1,0
vs LHH,493603,493603,7,7,1,4,0,0,0
vs RHH,493603,493603,9,9,2,5,0,0,0
vs LHH,497807,497807,15,13,3,9,2,0,0
vs RHH,497807,497807,11,10,3,6,0,0,0
vs LHH,500610,500610,7,7,4,7,0,0,0
vs RHH,500610,500610,18,16,6,8,2,0,0
vs LHH,500724,500724,11,11,3,4,0,0,0
vs RHH,500724,500724,21,16,2,3,4,1,0
vs LHH,500779,500779,18,15,6,10,3,0,0
vs RHH,500779,500779,54,49,15,23,5,0,0
vs LHH,501381,501381,21,18,4,6,3,0,0
vs RHH,501381,501381,45,41,9,21,4,0,0
vs LHH,501593,501593,10,10,2,2,0,0,0
vs RHH,501593,501593,5,4,0,0,1,0,0
vs LHH,501625,501625,3,3,0,0,0,0,0
vs RHH,501625,501625,13,13,5,5,0,0,0
vs LHH,501697,501697,9,8,2,4,1,0,0
vs RHH,501697,501697,21,20,6,8,0,0,0
vs LHH,501789,501789,13,12,2,2,1,0,0
vs RHH,501789,501789,9,8,2,3,1,0,0
vs LHH,501817,501817,3,3,1,1,0,0,0
vs RHH,501817,501817,5,4,1,1,1,0,0
vs LHH,501925,501925,2,2,0,0,0,0,0
vs RHH,501925,501925,14,14,2,2,0,0,0
vs LHH,501957,501957,24,21,7,9,2,0,1
vs RHH,501957,501957,38,30,8,16,5,2,1
vs LHH,502004,502004,3,3,1,1,0,0,0
vs RHH,502004,502004,7,5,1,1,1,1,0
vs LHH,502009,502009,6,5,1,1,1,0,0
vs RHH,502009,502009,9,8,4,7,1,0,0
vs LHH,502026,502026,1,1,1,2,0,0,0
vs RHH,502026,502026,14,12,2,2,2,0,0
vs LHH,502028,502028,14,12,4,8,2,0,0
vs RHH,502028,502028,21,21,6,14,0,0,0
vs LHH,502032,502032,1,1,0,0,0,0,0
vs RHH,502032,502032,3,3,2,5,0,0,0
vs LHH,502042,502042,45,42,11,24,3,0,0
vs RHH,502042,502042,36,34,9,11,2,0,0
vs LHH,502043,502043,42,34,9,11,7,0,1
vs RHH,502043,502043,35,34,12,18,0,0,1
vs LHH,502046,502046,2,2,0,0,0,0,0
vs RHH,502046,502046,3,3,2,2,0,0,0
vs LHH,502051,502051,5,5,1,4,0,0,0
vs RHH,502051,502051,14,13,0,0,1,0,0
vs LHH,502083,502083,8,7,1,1,1,0,0
vs RHH,502083,502083,14,12,1,1,2,0,0
vs LHH,502085,502085,9,9,2,3,0,0,0
vs RHH,502085,502085,5,3,0,0,1,0,1
vs LHH,502087,502087,16,15,8,10,1,0,0
vs RHH,502087,502087,7,5,1,1,2,0,0
vs LHH,502154,502154,6,6,3,3,0,0,0
vs RHH,502154,502154,23,23,4,4,0,0,0
vs LHH,502171,502171,23,20,11,22,3,0,0
vs RHH,502171,502171,10,10,6,10,0,0,0
vs LHH,502188,502188,41,38,11,16,3,0,0
vs RHH,502188,502188,34,30,5,5,2,0,0
vs LHH,502190,502190,35,31,9,13,4,0,0
vs RHH,502190,502190,32,31,10,10,0,1,0
vs LHH,502202,502202,16,10,2,2,4,1,1
vs RHH,502202,502202,17,14,4,7,3,0,0
vs LHH,502239,502239,5,5,0,0,0,0,0
vs RHH,502239,502239,16,13,2,3,3,0,0
vs LHH,502327,502327,14,13,1,1,1,0,0
vs RHH,502327,502327,85,77,20,38,7,0,0
vs LHH,502381,502381,13,11,3,7,2,0,0
vs RHH,502381,502381,14,12,5,6,1,1,0
vs LHH,502522,502522,8,8,3,10,0,0,0
vs RHH,502522,502522,7,6,2,2,1,0,0
vs LHH,502624,502624,27,25,5,8,2,0,0
vs RHH,502624,502624,42,38,12,23,4,0,0
vs LHH,502706,502706,4,4,1,1,0,0,0
vs RHH,502706,502706,25,23,6,9,2,0,0
vs LHH,502748,502748,22,18,2,6,4,0,0
vs RHH,502748,502748,38,34,7,15,4,0,0
vs LHH,503285,503285,2,2,1,4,0,0,0
vs RHH,503285,503285,11,11,1,1,0,0,0
vs LHH,503444,503444,9,8,1,2,1,0,0
vs RHH,503444,503444,9,7,1,2,2,0,0
vs LHH,503449,503449,44,41,12,15,2,0,0
vs RHH,503449,503449,28,26,7,8,2,0,0
vs LHH,504379,504379,15,13,2,3,1,1,0
vs RHH,504379,504379,27,27,8,11,0,0,0
vs LHH,506433,506433,40,36,6,9,3,1,0
vs RHH,506433,506433,34,31,6,10,3,0,0
vs RHH,514669,514669,7,6,0,0,1,0,0
vs LHH,516714,516714,7,6,2,2,1,0,0
vs RHH,516714,516714,5,5,2,5,0,0,0
vs LHH,516969,516969,19,17,6,9,2,0,0
vs RHH,516969,516969,13,11,5,8,1,1,0
vs LHH,517008,517008,17,17,3,3,0,0,0
vs RHH,517008,517008,14,14,5,5,0,0,0
vs LHH,517414,517414,11,7,1,1,3,1,0
vs RHH,517414,517414,14,11,2,6,2,0,1
vs LHH,518397,518397,5,5,2,2,0,0,0
vs RHH,518397,518397,3,3,1,3,0,0,0
vs LHH,518452,518452,47,38,9,11,5,0,1
vs RHH,518452,518452,32,29,12,22,3,0,0
vs LHH,518468,518468,2,1,1,2,1,0,0
vs RHH,518468,518468,5,3,0,0,1,1,0
vs LHH,518516,518516,21,21,1,1,0,0,0
vs RHH,518516,518516,57,53,13,25,2,0,2
vs LHH,518553,518553,15,12,1,1,3,0,0
vs RHH,518553,518553,7,6,1,2,1,0,0
vs LHH,518560,518560,22,21,3,7,1,0,0
vs RHH,518560,518560,41,38,7,11,2,0,1
vs LHH,518567,518567,31,26,4,7,2,0,1
vs RHH,518567,518567,45,42,11,20,3,0,0
vs LHH,518617,518617,4,4,1,1,0,0,0
vs RHH,518617,518617,14,9,2,3,5,0,0
vs LHH,518633,518633,11,10,3,3,0,0,0
vs RHH,518633,518633,69,61,20,40,8,0,0
vs LHH,518715,518715,2,2,0,0,0,0,0
vs RHH,518715,518715,11,11,2,4,0,0,0
vs LHH,518716,518716,18,14,5,8,2,0,2
vs RHH,518716,518716,25,24,6,8,0,0,0
vs LHH,518748,518748,7,6,3,4,1,0,0
vs RHH,518748,518748,13,11,4,6,2,0,0
vs LHH,518858,518858,6,5,1,1,1,0,0
vs RHH,518858,518858,7,7,1,2,0,0,0
vs LHH,518875,518875,9,9,1,1,0,0,0
vs RHH,518875,518875,13,12,0,0,1,0,0
vs LHH,518883,518883,14,13,3,4,1,0,0
vs RHH,518883,518883,13,12,3,4,1,0,0
vs LHH,518886,518886,15,10,1,1,4,1,0
vs RHH,518886,518886,17,13,1,4,3,0,0
vs LHH,518927,518927,9,9,1,1,0,0,0
vs RHH,518927,518927,13,10,4,10,2,0,0
vs LHH,519043,519043,28,28,6,7,0,0,0
vs RHH,519043,519043,64,56,17,21,6,0,1
vs LHH,519076,519076,37,33,9,10,4,0,0
vs RHH,519076,519076,37,33,9,22,4,0,0
vs LHH,519085,519085,4,4,1,1,0,0,0
vs RHH,519085,519085,21,18,4,11,2,0,1
vs LHH,519096,519096,11,11,0,0,0,0,0
vs RHH,519096,519096,12,12,3,3,0,0,0
vs LHH,519141,519141,17,17,5,8,0,0,0
vs RHH,519141,519141,26,24,6,13,2,0,0
vs LHH,519144,519144,33,32,9,11,1,0,0
vs RHH,519144,519144,55,51,11,19,2,1,1
vs LHH,519151,519151,5,5,1,1,0,0,0
vs RHH,519151,519151,6,5,1,1,0,0,1
vs LHH,519168,519168,5,4,1,1,1,0,0
vs RHH,519168,519168,4,4,1,1,0,0,0
vs LHH,519186,519186,7,4,3,4,2,1,0
vs RHH,519186,519186,4,3,0,0,1,0,0
vs LHH,519240,519240,8,6,2,3,0,1,0
