Drug,Timepoint,Mean of Tumor Volume (mm3),Mouse ID,SEM of Tumor Volume (mm3),Metastatic Sites
Ramicane,5,45.7222794933,34,0,0
Ramicane,5,45.5786783011,38,0,0
Ramicane,5,41.746354951,46,0,1
Ramicane,5,45.8162825207,53,0,0
Ramicane,5,45.8515306212,71,0,0
Ramicane,5,44.0653978295,78,0,0
Ramicane,5,41.0205182104,79,0,0
Ramicane,5,44.01490022,93,0,0
Ramicane,5,45.6207183526,95,0,1
Ramicane,5,38.8258980681,98,0,0
Ramicane,5,42.9988763811,121,0,0
Ramicane,5,45.5218747106,128,0,0
Ramicane,5,45.7661110398,159,0,0
Ramicane,5,45.6294942066,160,0,0
Ramicane,5,45.62580225399999,168,0,0
Ramicane,5,45.56821082850001,170,0,0
Ramicane,5,38.7118718494,179,0,0
Ramicane,5,45.5574644428,192,0,1
Ramicane,5,43.1663726574,219,0,0
Ramicane,5,45.8775449377,237,0,0
Ramicane,5,42.1887866197,246,0,0
Ramicane,10,40.759787622800005,7,0,1
Ramicane,10,44.5125595148,8,0,0
Ramicane,10,36.4293878059,11,0,0
Ramicane,10,46.3807125833,13,0,0
Ramicane,10,44.45437828479999,34,0,1
Ramicane,10,46.2879922276,38,0,0
Ramicane,10,42.4322579132,46,0,1
Ramicane,10,46.4090838477,53,0,0
Ramicane,10,40.1705584752,71,0,0
Ramicane,10,41.0209292412,78,0,0
Ramicane,10,41.6312473059,79,0,0
Ramicane,10,44.497162164,93,0,0
Ramicane,10,46.3438323743,95,0,1
Ramicane,10,35.014271464000004,98,0,1
Ramicane,10,43.748223567,121,0,0
Ramicane,10,40.3751381982,128,0,0
Ramicane,10,42.5379859779,159,0,0
Ramicane,10,44.9914847141,160,0,0
Ramicane,10,39.453902997,168,0,0
Ramicane,10,42.7119269415,170,0,0
Ramicane,10,34.850997904699994,179,0,0
Ramicane,10,46.4229430611,192,0,1
Ramicane,10,46.3780924822,237,0,0
Ramicane,10,42.9521184289,246,0,0
Ramicane,15,41.4841688531,7,0,1
Ramicane,15,43.001279573000005,8,0,0
Ramicane,15,35.5902540041,11,0,0
Ramicane,15,46.9108916644,13,0,0
Ramicane,15,45.107423133000005,34,0,2
Ramicane,15,46.94094512149999,38,0,1
Ramicane,15,39.4727874418,46,0,1
Ramicane,15,43.5537733856,53,0,0
Ramicane,15,40.6781285242,71,0,0
Ramicane,15,40.3309347927,78,0,0
Ramicane,15,39.1580011524,79,0,0
Ramicane,15,45.2525342738,93,0,0
Ramicane,15,41.1283543948,95,0,1
Ramicane,15,34.2239917444,98,0,1
Ramicane,15,39.8974353259,121,0,0
Ramicane,15,36.9402739897,128,0,0
Ramicane,15,41.3956603602,159,0,0
Ramicane,15,45.8890275598,160,0,0
Ramicane,15,40.0222923465,168,0,0
Ramicane,15,43.5272605378,170,0,0
Ramicane,15,35.276906340500005,179,0,0
Ramicane,15,47.2271706546,192,0,1
Ramicane,15,44.1834509224,237,0,0
Ramicane,15,38.6885160717,246,0,0
Stelasyn,0,45.0,5,0,0
Stelasyn,0,45.0,10,0,0
Stelasyn,0,45.0,19,0,0
Stelasyn,0,45.0,27,0,0
Stelasyn,0,45.0,33,0,0
Stelasyn,0,45.0,55,0,0
Stelasyn,0,45.0,72,0,0
Stelasyn,0,45.0,73,0,0
Stelasyn,0,45.0,75,0,0
Stelasyn,0,45.0,86,0,0
Stelasyn,0,45.0,94,0,0
Stelasyn,0,45.0,100,0,0
Stelasyn,0,45.0,104,0,0
Stelasyn,0,45.0,119,0,0
Stelasyn,0,45.0,145,0,0
Stelasyn,0,45.0,151,0,0
Stelasyn,0,45.0,153,0,0
Stelasyn,0,45.0,180,0,0
Stelasyn,0,45.0,181,0,0
Stelasyn,0,45.0,184,0,0
Stelasyn,0,45.0,203,0,0
Stelasyn,0,45.0,216,0,0
Stelasyn,0,45.0,220,0,0
Stelasyn,0,45.0,229,0,0
Stelasyn,0,45.0,244,0,0
Stelasyn,5,48.9513677307,5,0,0
Stelasyn,5,46.40914338899999,10,0,0
Stelasyn,5,46.23350580859999,19,0,0
Stelasyn,5,49.1561562774,27,0,1
Stelasyn,5,49.3426301024,33,0,1
Stelasyn,5,47.3134906249,55,0,0
Stelasyn,5,46.8807491586,72,0,0
Stelasyn,5,48.1785967698,73,1,0
Stelasyn,5,45.75172728020001,75,0,0
Stelasyn,5,46.4930239194,86,0,0
Stelasyn,5,48.4107210949,94,0,1
Stelasyn,5,46.6084671022,100,0,0
Stelasyn,5,49.2030578603,104,0,0
Stelasyn,5,49.0111800953,119,0,0
Stelasyn,5,48.6676307472,151,0,0
Stelasyn,5,47.0006271728,153,0,0
Stelasyn,5,48.2425521816,180,0,0
Stelasyn,5,46.6022687751,181,0,0
Stelasyn,5,48.0471388219,184,0,0
Stelasyn,5,47.0541847448,203,0,0
Stelasyn,5,45.8853703831,216,0,1
Stelasyn,5,48.3018226056,220,0,1
Stelasyn,5,46.3275702711,229,0,1
Stelasyn,5,45.934712167,244,0,0
Stelasyn,10,53.523990068500005,5,0,0
Stelasyn,10,48.432196607600005,10,0,0
Stelasyn,10,47.1505220053,19,0,0
Stelasyn,10,50.3389458287,27,0,1
Stelasyn,10,50.5668941174,33,0,1
Stelasyn,10,47.90432375140001,55,0,0
Stelasyn,10,48.1834016703,72,0,0
Stelasyn,10,50.812841966549996,73,1,0
Stelasyn,10,46.2338441389,75,0,1
Stelasyn,10,50.4212498188,86,0,0
Stelasyn,10,50.14108401399999,94,0,1
Stelasyn,10,47.658249795500005,100,0,1
Stelasyn,10,50.5235500683,104,0,1
Stelasyn,10,50.86013006100001,119,0,0
Stelasyn,10,53.362962941000006,151,0,0
Stelasyn,10,47.5458458532,153,0,0
Stelasyn,10,52.7775270975,180,0,0
Stelasyn,10,48.957919057,184,0,0
Stelasyn,10,48.1890006167,203,0,1
Stelasyn,10,47.4590665763,216,0,1
Stelasyn,10,48.9250560049,220,0,2
Stelasyn,10,46.8869624881,229,0,1
Stelasyn,15,55.2655816269,5,0,0
Stelasyn,15,51.9852629008,10,0,0
Stelasyn,15,47.8368521776,19,0,0
Stelasyn,15,51.6183865728,27,0,1
Stelasyn,15,52.2307194355,33,0,1
Stelasyn,15,48.7351971444,55,0,1
Stelasyn,15,51.0604192395,72,0,1
Stelasyn,15,53.442019761000005,73,0,0
Stelasyn,15,51.3258520692,73,0,1
Stelasyn,15,50.6926035803,75,0,2
Stelasyn,15,51.4196423913,86,0,0
Stelasyn,15,51.166756873100006,94,0,1
Stelasyn,15,49.6870516988,100,0,1
Stelasyn,15,54.4745336208,104,0,1
Stelasyn,15,55.9053435986,119,0,0
Stelasyn,15,55.2513803256,151,0,0
Stelasyn,15,49.6577097279,153,0,0
Stelasyn,15,54.328316635,180,0,1
Stelasyn,15,49.652787722700005,184,0,0
Stelasyn,15,49.4126241794,203,0,2
Stelasyn,15,48.2501463553,216,0,2
Stelasyn,15,52.6572651868,220,0,2
Stelasyn,15,49.1199478021,229,0,1
Zoniferol,0,45.0,6,0,0
Zoniferol,0,45.0,16,0,0
Zoniferol,0,45.0,21,0,0
Zoniferol,0,45.0,29,0,0
Zoniferol,0,45.0,31,0,0
Zoniferol,0,45.0,35,0,0
Zoniferol,0,45.0,44,0,0
Zoniferol,0,45.0,45,0,0
Zoniferol,0,45.0,54,0,0
Zoniferol,0,45.0,58,0,0
Zoniferol,0,45.0,60,0,0
Zoniferol,0,45.0,66,0,0
Zoniferol,0,45.0,91,0,0
Zoniferol,0,45.0,102,0,0
Zoniferol,0,45.0,105,0,0
Zoniferol,0,45.0,120,0,0
Zoniferol,0,45.0,135,0,0
Zoniferol,0,45.0,146,0,0
Zoniferol,0,45.0,148,0,0
Zoniferol,0,45.0,157,0,0
Zoniferol,0,45.0,161,0,0
Zoniferol,0,45.0,178,0,0
Zoniferol,0,45.0,209,0,0
Zoniferol,0,45.0,217,0,0
Zoniferol,0,45.0,231,0,0
Zoniferol,5,46.1119859138,6,0,0
Zoniferol,5,47.0065802437,16,0,0
Zoniferol,5,47.1544325448,21,0,0
Zoniferol,5,45.79170389350001,29,0,0
Zoniferol,5,47.690679858500005,31,0,1
Zoniferol,5,46.562637930200005,35,0,0
Zoniferol,5,46.617670614,45,0,0
Zoniferol,5,47.0005939912,54,0,0
Zoniferol,5,47.0330996326,58,0,0
Zoniferol,5,46.5658126328,60,0,0
Zoniferol,5,46.5932333665,66,0,0
Zoniferol,5,46.7112610998,91,0,0
Zoniferol,5,45.7277604037,102,0,0
Zoniferol,5,47.645686744,105,0,0
Zoniferol,5,45.5230137147,120,0,1
Zoniferol,5,46.077191731300005,135,0,1
Zoniferol,5,46.7611637314,146,0,0
Zoniferol,5,49.273970959,148,0,0
Zoniferol,5,45.8326537772,157,0,0
Zoniferol,5,47.1838021471,161,0,0
Zoniferol,5,46.8498515661,178,0,0
Zoniferol,5,47.71795156060001,209,0,0
Zoniferol,5,48.9138597737,217,0,1
Zoniferol,5,46.0970405801,231,0,0
Zoniferol,10,47.7259374025,6,0,1
Zoniferol,10,50.1597213166,16,0,1
Zoniferol,10,48.3193721835,21,0,1
Zoniferol,10,49.0265919617,29,0,0
Zoniferol,10,48.5335670388,31,0,1
Zoniferol,10,47.2932601213,35,0,0
Zoniferol,10,47.4746446813,45,0,1
Zoniferol,10,48.1797190801,54,0,1
Zoniferol,10,51.0725122479,60,0,0
Zoniferol,10,48.2695086075,66,0,0
Zoniferol,10,48.3493202828,91,0,0
Zoniferol,10,49.746116661,102,0,0
Zoniferol,10,49.2728701133,105,0,1
Zoniferol,10,47.6468773488,120,0,1
Zoniferol,10,47.4717232698,135,0,1
Zoniferol,10,47.565673635900005,146,0,1
Zoniferol,10,50.9078902812,148,0,0
Zoniferol,10,50.3116468696,157,0,0
Zoniferol,10,49.0018655887,161,0,0
Zoniferol,10,47.8944414988,178,0,0
Zoniferol,10,50.1359554709,217,0,1
Zoniferol,10,46.8181759016,231,0,0
Zoniferol,15,49.9347254166,6,0,1
Zoniferol,15,52.5399492638,16,0,1
Zoniferol,15,49.1883873469,21,0,1
Zoniferol,15,53.6649416525,29,0,1
Zoniferol,15,52.71663458890001,31,0,2
Zoniferol,15,51.4149035802,35,0,1
Zoniferol,15,49.988302463500006,54,0,1
Zoniferol,15,53.9455442904,60,0,1
Zoniferol,15,49.6532440363,66,0,1
Zoniferol,15,49.5882633582,91,0,0
Zoniferol,15,51.3235699401,102,0,0
Zoniferol,15,49.9877656973,105,0,1
Zoniferol,15,52.1100875766,120,0,1
Zoniferol,15,49.8250036162,135,0,1
Zoniferol,15,48.2542483928,146,0,1
Zoniferol,15,51.9914161632,148,0,1
Zoniferol,15,52.1330813859,157,0,0
Zoniferol,15,50.5835572966,161,0,1
Zoniferol,15,48.5715158185,178,0,0
Zoniferol,15,50.8674517572,217,0,1
Zoniferol,15,48.077646404700005,231,0,0
Zoniferol,20,51.826638253,146,0,2
