,Year,Category,Nominee,Movie,Winner
8989,1940 (13th),Actor -- Supporting Role,Walter Brennan,The Westerner {'Judge Roy Bean'},YES
9153,1939 (12th),Actor -- Supporting Role,Thomas Mitchell,Stagecoach {'Dr. Josiah Boone'},YES
9303,1938 (11th),Actor -- Supporting Role,Walter Brennan,Kentucky {'Peter Goodwin'},YES
9450,1937 (10th),Actor -- Supporting Role,Joseph Schildkraut,The Life of Emile Zola {'Captain Alfred Dreyfus'},YES
9584,1936 (9th),Actor -- Supporting Role,Walter Brennan,Come and Get It {'Swan Bostrom'},YES
17,2010 (83rd),Actress -- Supporting Role,Melissa Leo,The Fighter {'Alice Ward'},YES
154,2009 (82nd),Actress -- Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},YES
291,2008 (81st),Actress -- Supporting Role,Penélope Cruz,Vicky Cristina Barcelona {'Maria Elena'},YES
412,2007 (80th),Actress -- Supporting Role,Tilda Swinton,Michael Clayton {'Karen Crowder'},YES
538,2006 (79th),Actress -- Supporting Role,Jennifer Hudson,Dreamgirls {'Effie White'},YES
668,2005 (78th),Actress -- Supporting Role,Rachel Weisz,The Constant Gardener {'Tessa Quayle'},YES
794,2004 (77th),Actress -- Supporting Role,Cate Blanchett,The Aviator {'Katharine Hepburn'},YES
927,2003 (76th),Actress -- Supporting Role,Renée Zellweger,Cold Mountain {'Ruby Thewes'},YES
1049,2002 (75th),Actress -- Supporting Role,Catherine Zeta-Jones,Chicago {'Velma Kelly'},YES
1172,2001 (74th),Actress -- Supporting Role,Jennifer Connelly,A Beautiful Mind {'Alicia Nash'},YES
1310,2000 (73rd),Actress -- Supporting Role,Marcia Gay Harden,Pollock {'Lee Krasner'},YES
1439,1999 (72nd),Actress -- Supporting Role,Angelina Jolie,"Girl, Interrupted {'Lisa Rowe'}",YES
1566,1998 (71st),Actress -- Supporting Role,Judi Dench,Shakespeare in Love {'Queen Elizabeth I'},YES
1714,1997 (70th),Actress -- Supporting Role,Kim Basinger,L.A. Confidential {'Lynn Bracken'},YES
1853,1996 (69th),Actress -- Supporting Role,Juliette Binoche,The English Patient {'Hana'},YES
1984,1995 (68th),Actress -- Supporting Role,Mira Sorvino,Mighty Aphrodite {'Linda'},YES
2127,1994 (67th),Actress -- Supporting Role,Dianne Wiest,Bullets over Broadway {'Helen Sinclair'},YES
2262,1993 (66th),Actress -- Supporting Role,Anna Paquin,The Piano {'Flora'},YES
2384,1992 (65th),Actress -- Supporting Role,Marisa Tomei,My Cousin Vinny {'Mona Lisa Vito'},YES
2509,1991 (64th),Actress -- Supporting Role,Mercedes Ruehl,The Fisher King {'Anne'},YES
2633,1990 (63rd),Actress -- Supporting Role,Whoopi Goldberg,Ghost {'Oda Mae Brown'},YES
2760,1989 (62nd),Actress -- Supporting Role,Brenda Fricker,My Left Foot {'Mrs. Brown'},YES
2875,1988 (61st),Actress -- Supporting Role,Geena Davis,The Accidental Tourist {'Muriel'},YES
3000,1987 (60th),Actress -- Supporting Role,Olympia Dukakis,Moonstruck {'Rose Castorini'},YES
3121,1986 (59th),Actress -- Supporting Role,Dianne Wiest,Hannah and Her Sisters {'Holly'},YES
3241,1985 (58th),Actress -- Supporting Role,Anjelica Huston,Prizzi's Honor {'Maerose Prizzi'},YES
3356,1984 (57th),Actress -- Supporting Role,Peggy Ashcroft,A Passage to India {'Mrs. Moore'},YES
3479,1983 (56th),Actress -- Supporting Role,Linda Hunt,The Year of Living Dangerously {'Billy Kwan'},YES
3595,1982 (55th),Actress -- Supporting Role,Jessica Lange,Tootsie {'Julie Nichols'},YES
3720,1981 (54th),Actress -- Supporting Role,Maureen Stapleton,Reds {'Emma Goldman'},YES
3840,1980 (53rd),Actress -- Supporting Role,Mary Steenburgen,Melvin and Howard {'Lynda Dummar'},YES
3953,1979 (52nd),Actress -- Supporting Role,Meryl Streep,Kramer vs. Kramer {'Joanna Kramer'},YES
4076,1978 (51st),Actress -- Supporting Role,Maggie Smith,California Suite {'Diana Barrie'},YES
4197,1977 (50th),Actress -- Supporting Role,Vanessa Redgrave,Julia {'Julia'},YES
4323,1976 (49th),Actress -- Supporting Role,Beatrice Straight,Network {'Louise Schumacher'},YES
4433,1975 (48th),Actress -- Supporting Role,Lee Grant,Shampoo {'Felicia Karpf'},YES
4550,1974 (47th),Actress -- Supporting Role,Ingrid Bergman,Murder on the Orient Express {'Greta Ohlsson'},YES
4668,1973 (46th),Actress -- Supporting Role,Tatum O'Neal,Paper Moon {'Addie Loggins'},YES
4775,1972 (45th),Actress -- Supporting Role,Eileen Heckart,Butterflies Are Free {'Mrs. Baker'},YES
4891,1971 (44th),Actress -- Supporting Role,Cloris Leachman,The Last Picture Show {'Ruth Popper'},YES
5000,1970 (43rd),Actress -- Supporting Role,Helen Hayes,Airport {'Ada Quonsett'},YES
5112,1969 (42nd),Actress -- Supporting Role,Goldie Hawn,Cactus Flower {'Toni Simmons'},YES
5223,1968 (41st),Actress -- Supporting Role,Ruth Gordon,Rosemary's Baby {'Minnie Castevet'},YES
5344,1967 (40th),Actress -- Supporting Role,Estelle Parsons,Bonnie and Clyde {'Blanche Barrow'},YES
5455,1966 (39th),Actress -- Supporting Role,Sandy Dennis,Who's Afraid of Virginia Woolf? {'Honey'},YES
5587,1965 (38th),Actress -- Supporting Role,Shelley Winters,A Patch of Blue {'Rose-Ann D'Arcey'},YES
5714,1964 (37th),Actress -- Supporting Role,Lila Kedrova,Zorba the Greek {'Madame Hortense'},YES
5846,1963 (36th),Actress -- Supporting Role,Margaret Rutherford,The V.I.P.s {'Duchess of Brighton'},YES
5969,1962 (35th),Actress -- Supporting Role,Patty Duke,The Miracle Worker {'Helen Keller'},YES
6096,1961 (34th),Actress -- Supporting Role,Rita Moreno,West Side Story {'Anita'},YES
6222,1960 (33rd),Actress -- Supporting Role,Shirley Jones,Elmer Gantry {'Lulu Bains'},YES
6352,1959 (32nd),Actress -- Supporting Role,Shelley Winters,The Diary of Anne Frank {'Mrs. Van Daan'},YES
6475,1958 (31st),Actress -- Supporting Role,Wendy Hiller,Separate Tables {'Pat Cooper'},YES
6592,1957 (30th),Actress -- Supporting Role,Miyoshi Umeki,Sayonara {'Katsumi'},YES
6699,1956 (29th),Actress -- Supporting Role,Dorothy Malone,Written on the Wind {'Marylee Hadley'},YES
6832,1955 (28th),Actress -- Supporting Role,Jo Van Fleet,East of Eden {'Kate'},YES
6963,1954 (27th),Actress -- Supporting Role,Eva Marie Saint,On the Waterfront {'Edie Doyle'},YES
7105,1953 (26th),Actress -- Supporting Role,Donna Reed,From Here to Eternity {'Lorene/Alma'},YES
7237,1952 (25th),Actress -- Supporting Role,Gloria Grahame,The Bad and the Beautiful {'Rosemary Bartlow'},YES
7378,1951 (24th),Actress -- Supporting Role,Kim Hunter,A Streetcar Named Desire {'Stella Kowalski'},YES
7504,1950 (23rd),Actress -- Supporting Role,Josephine Hull,Harvey {'Veta Louise Simmons'},YES
7621,1949 (22nd),Actress -- Supporting Role,Mercedes McCambridge,All the King's Men {'Sadie Burke'},YES
7744,1948 (21st),Actress -- Supporting Role,Claire Trevor,Key Largo {'Gaye'},YES
7857,1947 (20th),Actress -- Supporting Role,Celeste Holm,Gentleman's Agreement {'Anne'},YES
7970,1946 (19th),Actress -- Supporting Role,Anne Baxter,The Razor's Edge {'Sophie MacDonald'},YES
8088,1945 (18th),Actress -- Supporting Role,Anne Revere,National Velvet {'Mrs. Brown'},YES
8247,1944 (17th),Actress -- Supporting Role,Ethel Barrymore,None but the Lonely Heart {'Ma Mott'},YES
8430,1943 (16th),Actress -- Supporting Role,Katina Paxinou,For Whom the Bell Tolls {'Pilar'},YES
8620,1942 (15th),Actress -- Supporting Role,Teresa Wright,Mrs. Miniver {'Carol Beldon'},YES
8807,1941 (14th),Actress -- Supporting Role,Mary Astor,The Great Lie {'Sandra Kovak'},YES
8999,1940 (13th),Actress -- Supporting Role,Jane Darwell,The Grapes of Wrath {'Ma Joad'},YES
9162,1939 (12th),Actress -- Supporting Role,Hattie McDaniel,Gone with the Wind {'Mammy'},YES
9313,1938 (11th),Actress -- Supporting Role,Fay Bainter,Jezebel {'Aunt Belle Massey'},YES
9458,1937 (10th),Actress -- Supporting Role,Alice Brady,In Old Chicago {'Molly O'Leary'},YES
9597,1936 (9th),Actress -- Supporting Role,Gale Sondergaard,Anthony Adverse {'Faith Paleologue'},YES
