Year,Category,Nominee,Movie,Winner
2000 (73rd),Actor -- Supporting Role,Benicio Del Toro,Traffic {'Javier Rodriguez'},YES
1999 (72nd),Actor -- Supporting Role,Michael Caine,The Cider House Rules {'Dr. Wilbur Larch'},YES
1998 (71st),Actor -- Supporting Role,James Coburn,Affliction {'Glen Whitehouse'},YES
1997 (70th),Actor -- Supporting Role,Robin Williams,Good Will Hunting {'Sean McGuire'},YES
1996 (69th),Actor -- Supporting Role,"Cuba Gooding, Jr.",Jerry Maguire {'Rod Tidwell'},YES
1995 (68th),Actor -- Supporting Role,Kevin Spacey,The Usual Suspects {'Roger 'Verbal' Kint'},YES
1994 (67th),Actor -- Supporting Role,Martin Landau,Ed Wood {'Bela Lugosi'},YES
1993 (66th),Actor -- Supporting Role,Tommy Lee Jones,The Fugitive {'Samuel Gerard'},YES
1992 (65th),Actor -- Supporting Role,Gene Hackman,Unforgiven {'Little Bill Daggett'},YES
1991 (64th),Actor -- Supporting Role,Jack Palance,City Slickers {'Curly'},YES
1990 (63rd),Actor -- Supporting Role,Joe Pesci,Good Fellas {'Tommy DeVito'},YES
1989 (62nd),Actor -- Supporting Role,Denzel Washington,Glory {'Trip'},YES
1988 (61st),Actor -- Supporting Role,Kevin Kline,A Fish Called Wanda {'Otto'},YES
1987 (60th),Actor -- Supporting Role,Sean Connery,The Untouchables {'Jim Malone'},YES
1986 (59th),Actor -- Supporting Role,Michael Caine,Hannah and Her Sisters {'Elliot'},YES
1985 (58th),Actor -- Supporting Role,Don Ameche,Cocoon {'Art Selwyn'},YES
1984 (57th),Actor -- Supporting Role,Haing S. Ngor,The Killing Fields {'Dith Pran'},YES
1983 (56th),Actor -- Supporting Role,Jack Nicholson,Terms of Endearment {'Garrett Breedlove'},YES
1982 (55th),Actor -- Supporting Role,"Louis Gossett, Jr.",An Officer and a Gentleman {'Sgt. Emil Foley'},YES
1981 (54th),Actor -- Supporting Role,John Gielgud,Arthur {'Hobson'},YES
1980 (53rd),Actor -- Supporting Role,Timothy Hutton,Ordinary People {'Conrad Jarrett'},YES
1979 (52nd),Actor -- Supporting Role,Melvyn Douglas,Being There {'Benjamin Rand'},YES
1978 (51st),Actor -- Supporting Role,Christopher Walken,The Deer Hunter {'Nick'},YES
1977 (50th),Actor -- Supporting Role,Jason Robards,Julia {'Dashiell Hammett'},YES
1976 (49th),Actor -- Supporting Role,Jason Robards,All the President's Men {'Ben Bradlee'},YES
1975 (48th),Actor -- Supporting Role,George Burns,The Sunshine Boys {'Al Lewis'},YES
1974 (47th),Actor -- Supporting Role,Robert De Niro,The Godfather Part II {'Vito Corleone'},YES
1973 (46th),Actor -- Supporting Role,John Houseman,The Paper Chase {'Professor Kingsfield'},YES
1972 (45th),Actor -- Supporting Role,Joel Grey,Cabaret {'The Master of Ceremonies'},YES
1971 (44th),Actor -- Supporting Role,Ben Johnson,The Last Picture Show {'Sam the Lion'},YES
1970 (43rd),Actor -- Supporting Role,John Mills,Ryan's Daughter {'Michael'},YES
1969 (42nd),Actor -- Supporting Role,Gig Young,"They Shoot Horses, Don't They? {'Rocky'}",YES
1968 (41st),Actor -- Supporting Role,Jack Albertson,The Subject Was Roses {'John Cleary'},YES
1967 (40th),Actor -- Supporting Role,George Kennedy,Cool Hand Luke {'Dragline'},YES
1966 (39th),Actor -- Supporting Role,Walter Matthau,The Fortune Cookie {'Willie Gingrich'},YES
1965 (38th),Actor -- Supporting Role,Martin Balsam,A Thousand Clowns {'Arnold Burns'},YES
1964 (37th),Actor -- Supporting Role,Peter Ustinov,Topkapi {'Arthur Simpson'},YES
1963 (36th),Actor -- Supporting Role,Melvyn Douglas,Hud {'Homer Bannon'},YES
1962 (35th),Actor -- Supporting Role,Ed Begley,Sweet Bird of Youth {'Tom 'Boss' Finley'},YES
1961 (34th),Actor -- Supporting Role,George Chakiris,West Side Story {'Bernardo'},YES
1960 (33rd),Actor -- Supporting Role,Peter Ustinov,Spartacus {'Batiatus'},YES
1959 (32nd),Actor -- Supporting Role,Hugh Griffith,Ben-Hur {'Sheik Ilderim'},YES
1958 (31st),Actor -- Supporting Role,Burl Ives,The Big Country {'Rufus Hannassey'},YES
1957 (30th),Actor -- Supporting Role,Red Buttons,Sayonara {'Joe Kelly'},YES
1956 (29th),Actor -- Supporting Role,Anthony Quinn,Lust for Life {'Paul Gauguin'},YES
1955 (28th),Actor -- Supporting Role,Jack Lemmon,Mister Roberts {'Ensign Pulver'},YES
1954 (27th),Actor -- Supporting Role,Edmond O'Brien,The Barefoot Contessa {'Oscar Muldoon'},YES
1953 (26th),Actor -- Supporting Role,Frank Sinatra,From Here to Eternity {'Angelo Maggio'},YES
1952 (25th),Actor -- Supporting Role,Anthony Quinn,Viva Zapata! {'Eufemio Zapata'},YES
1951 (24th),Actor -- Supporting Role,Karl Malden,A Streetcar Named Desire {'Mitch'},YES
1950 (23rd),Actor -- Supporting Role,George Sanders,All about Eve {'Addison De Witt'},YES
1949 (22nd),Actor -- Supporting Role,Dean Jagger,Twelve O'Clock High {'Major Stovall'},YES
1948 (21st),Actor -- Supporting Role,Walter Huston,The Treasure of the Sierra Madre {'Howard'},YES
1947 (20th),Actor -- Supporting Role,Edmund Gwenn,Miracle on 34th Street {'Kris Kringle'},YES
1946 (19th),Actor -- Supporting Role,Harold Russell,The Best Years of Our Lives {'Homer Parrish'},YES
1945 (18th),Actor -- Supporting Role,James Dunn,A Tree Grows in Brooklyn {'Johnny Nolan'},YES
1944 (17th),Actor -- Supporting Role,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},YES
1943 (16th),Actor -- Supporting Role,Charles Coburn,The More the Merrier {'Benjamin Dingle'},YES
1942 (15th),Actor -- Supporting Role,Van Heflin,Johnny Eager {'Jeff Hartnett'},YES
1941 (14th),Actor -- Supporting Role,Donald Crisp,How Green Was My Valley {'Mr. Morgan'},YES
1940 (13th),Actor -- Supporting Role,Walter Brennan,The Westerner {'Judge Roy Bean'},YES
1939 (12th),Actor -- Supporting Role,Thomas Mitchell,Stagecoach {'Dr. Josiah Boone'},YES
1938 (11th),Actor -- Supporting Role,Walter Brennan,Kentucky {'Peter Goodwin'},YES
1937 (10th),Actor -- Supporting Role,Joseph Schildkraut,The Life of Emile Zola {'Captain Alfred Dreyfus'},YES
1936 (9th),Actor -- Supporting Role,Walter Brennan,Come and Get It {'Swan Bostrom'},YES
